call_does_not_include_checklogs,gota_call,club_name,section,number_of_transmitters,category,power_source,final_score,total_qsos,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,power_multiplier,bonus_points,number_of_participants
K9EGS,NA,NA,IL,1,B1,B,490,11,0,9,2,2,450,1
K9ELF,NA,NA,IN,1,D,C,76,13,0,0,13,2,50,1
K9ESV,NA,McHenry Co RACES/ARES,IL,2,F,G,4644,1110,837,0,273,2,750,20
K9GDF,NA,NA,WI,1,D,C,1474,356,356,0,0,2,50,1
K9GV,K9CWD,Hoosier Lakes RC,IN,2,AC,C,1322,223,10,3,210,2,850,22
K9GXU,NA,St Clair ARC,IL,4,A,B,2624,612,127,98,387,2,950,7
K9HAM,NA,Lewis and Clark RC,IL,3,A,B,2608,513,126,0,387,2,1330,50
K9HC,NA,Huntington Co ARS,IN,3,A,G,1176,184,4,0,180,2,800,15
K9HD,NA,Land of Lakes ARC,IN,2,A,G,1570,280,7,73,200,2,850,8
K9ILS,NA,NA,IL,3,D,C,4850,1370,830,0,540,2,450,25
K9IQP,W9QL,Lake Co IL RACES/ARES,IL,3,F,C,4828,1186,646,32,508,2,1100,34
K9IU,NA,NA,IN,9,E,G,4770,1219,371,0,848,2,1590,10
K9IYP,NA,NA,IL,2,A,G,1378,194,0,0,194,2,990,8
K9JK,NA,NA,IL,1,C,B,354,43,9,0,34,2,250,1
K9JM,NA,NA,SV,1,E,G,1226,244,244,0,0,2,250,1
K9K,NA,Rockford ARA,IL,2,A,G,2076,450,0,13,437,2,1150,25
K9KJ,NA,NA,WI,1,C,G,570,110,100,0,10,2,150,2
K9KJN,NA,NA,IN,1,B1B,B,125,15,0,0,15,5,50,1
K9LDW,NA,NA,NTX,1,D,C,54,27,0,0,27,2,0,1
K9MCE,NA,Macoupin Co ARC,IL,3,A,G,3168,698,111,150,437,2,1250,12
K9NN,NA,Gaston Contest Club,IN,2,A,B,5796,1628,1095,0,533,2,350,3
K9NW,NA,NA,OH,1,D,C,1454,354,348,0,6,2,50,1
K9OM,NA,NA,WI,1,E,G,2150,500,371,129,0,2,150,1
K9ONA,NA,Six Meter Club of Chicago,IL,2,A,G,2428,665,224,0,441,2,650,10
K9OR,K9EAA,North Shore RC,IL,3,A,G,12410,3264,2061,55,1148,2,1650,85
K9PLG,NA,NA,IN,1,D,C,40,20,0,0,20,2,0,1
K9RN,NA,McHenry Co Wireless Assn,IL,2,A,G,7050,1682,1263,0,419,2,1160,25
K9ROA,NA,NA,IN,1,D,C,68,9,0,0,9,2,50,1
K9SGB,NA,NA,IL,1,B1,B,298,16,0,8,8,2,250,1
K9T,NA,Northern Illinois Quad-County ARG,IL,2,A,G,1224,183,0,4,179,2,850,10
K9TWW,NA,NA,MN,1,D,C,13,13,0,0,13,1,0,1
K9UQN,NA,NA,TN,1,D,C,1902,438,438,0,0,2,150,1
K9VER,NA,NA,WI,1,D,C,226,49,39,0,10,2,50,1
K9VND,NA,NA,IN,3,A,G,1396,306,17,0,289,2,750,22
K9WKD,NA,NA,IL,1,D,C,92,21,0,0,21,2,50,1
K9WM,NA,Green River Valley ARS,IL,2,F,C,4542,1150,846,0,304,2,550,21
K9ZA,NA,Federation of AR Operators,IL,1,A,G,5726,1453,935,0,518,2,950,3
K9ZO,NA,NA,IL,1,E,G,2222,624,462,0,162,2,50,1
K9ZU,NA,NA,MDC,1,C,B,764,314,300,0,14,1,150,1
KA1HSP,NA,NA,WMA,1,B1B,B,1050,80,80,0,0,5,250,1
KA1KNW,NA,NA,CT,1,D,C,70,34,1,0,33,2,0,1
KA1RFD,NA,NA,ME,1,D,C,74,6,6,0,0,2,50,1
KA1VMG,NA,NA,CT,1,D,C,258,79,0,0,79,2,100,1
KA1WAL,NA,NA,ME,1,D,C,384,91,0,26,65,2,150,1
KA2AEY,NA,NA,WNY,1,D,C,124,37,0,0,37,2,50,1
KA2BEO,NA,NA,SNJ,1,B1B,B,530,38,38,0,0,5,150,1
KA2FHN,NA,NA,WNY,1,E,B,2340,209,167,42,0,5,250,1
KA2IWK,NA,NA,WNY,1,D,C,182,16,0,0,16,2,150,1
KA2JAI,NA,NA,MDC,1,E,B,182,66,0,0,66,2,50,2
KA2REY,NA,NA,ENY,1,D,C,388,72,72,0,0,2,100,1
KA2YRA,NA,NA,ENY,1,E,B,350,20,0,20,0,5,150,1
KA3EAJ,NA,NA,EPA,1,B1B,B,390,24,24,0,0,5,150,1
KA3KSP,NA,NA,WPA,1,C,G,98,24,0,0,24,2,50,1
KA3MZR,NA,NA,EPA,1,D,C,24,12,0,0,12,2,0,1
KA3PCX,NA,NA,EPA,1,E,G,316,76,0,7,69,2,150,1
KA3PMW,NA,Redneck Hams,WPA,4,A,G,3364,1222,0,0,1222,2,920,9
KA3PVM,NA,KA3PVM and friends,MDC,2,A,G,1178,235,129,0,106,2,450,5
KA4ZDR,NA,NA,TN,1,D,C,290,120,0,0,120,2,50,2
KA5M,NA,NA,LA,1,E,G,2424,783,354,0,429,2,150,2
KA5W,NA,NA,NLI,1,D,C,66,33,0,0,33,2,0,1
KA6ZMU,NA,Meyers Family,SJV,2,A,G,518,34,0,0,34,2,450,3
KA7EMS,NA,NA,OR,1,D,C,88,15,0,4,11,2,50,1
KA7NPQ,NA,NA,AZ,1,D,C,84,17,0,0,17,2,50,1
KA9LAW,NA,NA,IN,1,D,C,67,17,0,0,17,1,50,1
KB1BSR,NA,NA,NC,1,D,C,70,29,0,6,23,2,0,1
KB1HXO,NA,NA,WMA,1,B1B,B,935,107,0,10,97,5,350,1
KB1IRB,NA,NA,CT,1,D,C,92,21,0,0,21,2,50,1
KB1UJS,NA,NA,ME,1,B2,B,470,110,0,0,110,2,250,2
KB1VIP,NA,NA,ME,1,B1B,B,180,26,0,0,26,5,50,1
KB1WEZ,NA,NA,SC,1,D,C,120,35,0,0,35,2,50,1
KB1WLB,NA,NA,RI,1,D,C,492,199,0,22,177,2,50,6
KB2FCV,NA,NA,EPA,1,B1B,B,300,15,15,0,0,5,150,1
KB2MN,NA,NA,SNJ,1,E,B,2215,210,183,0,27,5,250,2
KB2PG,NA,NA,VA,1,D,C,44,22,0,0,22,2,0,1
KB2URI,NA,NA,WNY,2,E,O,1218,146,137,1,8,2,650,1
KB3CVD,NA,UMBC ARC,MDC,2,F,C,888,228,0,91,137,2,250,7
KB3DVS,NA,NA,CO,1,B1B,B,90,8,0,0,8,5,50,1
KB3FHK,NA,NA,EPA,1,E,B,905,161,0,0,161,5,100,1
KB3INE,NA,NA,SC,1,D,C,152,51,0,0,51,2,50,1
KB3JOD,NA,NA,WPA,1,D,C,202,39,0,37,2,2,50,1
KB3LMC,NA,NA,MDC,3,AC,C,232,116,0,0,116,2,0,10
KB3ZVH,NA,NA,WPA,1,D,C,252,41,0,0,41,2,170,1
KB4FB,NA,NA,SFL,1,D,C,94,22,22,0,0,1,50,1
KB4JKL,NA,Maritime Mobile Service Net Field Day Group,NFL,1,AB,B,2055,75,2,64,9,5,1350,4
KB4KN,NA,NA,NC,1,D,C,58,4,0,0,4,2,50,1
KB5A,NA,Metro Crest ARS,NTX,4,A,G,1188,137,17,34,86,1,1000,10
KB5IOC,NA,Miller Co ARES,AR,5,AC,C,250,60,0,15,45,2,100,8
KB5JO,NA,NA,STX,1,E,B,150,10,10,0,0,5,50,1
KB5TX,KE5TM,Kendall ARS,STX,5,F,G,3716,808,608,7,193,2,870,15
KB6A,NA,NA,ORG,1,D,C,380,68,47,0,21,2,150,1
KB6EOC,AA6MP,Benicia ARC,EB,2,F,C,1852,374,166,1,207,2,770,30
KB6UNC,NA,NA,UT,1,D,C,1282,470,146,0,324,2,50,1
KB7HDX,NA,NA,EWA,1,D,C,274,112,0,0,112,2,50,1
KB7LJP,NA,NA,WWA,1,B1C,C,410,65,65,0,0,2,150,1
KB7QWC,NA,NA,SV,1,D,C,6,2,0,1,1,2,0,1
KB7YSY,NA,NA,AZ,1,E,B,392,21,0,0,21,2,350,1
KB8PGW,NA,NA,MI,1,B1B,B,2350,230,230,0,0,5,50,1
KB8U,NA,NA,MI,1,C,B,434,72,70,0,2,2,150,1
KB8UHN,NA,NA,OH,1,B1,B,800,275,0,0,275,2,250,1
KB9GEG,NA,NA,MO,1,B1C,C,96,23,0,0,23,2,50,1
KB9GHN,NA,NA,IN,1,B1B,B,795,75,74,0,1,5,50,1
KB9O,NA,NA,IL,1,D,C,382,83,83,0,0,2,50,1
KB9OQC,NA,NA,IL,1,D,C,56,3,0,0,3,2,50,1
KB9SZK,NA,Grundy Co ARC,IL,5,F,B,1184,44,0,13,31,2,1070,8
KB9YJH,NA,Sprow Family,IN,2,AC,C,658,225,0,9,216,2,190,4
KBØNHX,NA,NA,MO,1,D,C,126,38,0,0,38,2,50,1
KBØTLL,NA,Jefferson Co ARC/Ancient Modulators,MO,1,A,B,2954,1302,0,0,1302,2,350,22
KBØVAC,NA,Flinthills ARC,KS,2,A,G,938,231,0,63,168,2,350,17
KBØVBN,AAØQA,Blue Springs ARC,MO,3,AC,C,922,225,159,7,59,2,140,14
KBØVHA,NA,NA,CO,1,B1,G,246,48,0,0,48,2,150,1
KBØYH,NA,NA,CO,1,E,B,722,112,48,26,38,2,350,1
KC1AEK,NA,NA,ME,1,B1B,B,180,26,0,0,26,5,50,1
KC1CIL,WA1LEI,Woodmont ARA,CT,5,F,C,2422,416,6,94,316,2,1390,12
KC1CNO,NA,NA,CT,1,B1B,B,90,8,0,0,8,5,50,1
KC1CUE,KC1BRV,Coventry EMA,RI,2,F,C,3358,1034,0,0,1034,2,1290,25
KC1EDN,NA,NA,CT,1,D,C,122,36,0,0,36,2,50,1
KC1EKB,NA,NA,ME,1,D,C,54,2,0,0,2,2,50,1
KC1FID,NA,Springfield RACES,WMA,2,F,G,1160,130,0,0,130,2,900,12
KC2IGE,NA,NA,SNJ,1,D,C,530,95,95,0,0,2,150,2
KC2JAD,NA,NA,WNY,2,A,G,1692,453,58,0,395,2,670,9
KC2LM,NA,NA,NM,1,E,G,660,93,47,40,6,2,300,1
KC2OUR,NA,Orange Co ARES RACES,ENY,4,F,C,2480,781,63,71,647,2,650,21
KC2PDO,NA,NA,NNJ,1,D,C,144,47,0,0,47,2,50,1
KC2PRB,NA,NA,NC,1,D,C,92,21,0,0,21,2,50,1
KC2QNK,NA,NA,NLI,1,D,C,30,30,0,0,30,1,0,1
KC2RC,NA,Kings Co RC,NLI,2,A,G,1880,636,29,0,607,2,550,8
KC2TI,NA,Thousand Islands RC,NNY,3,A,G,1926,439,4,105,330,2,830,28
KC3D,NA,NA,SFL,1,D,C,35,35,0,0,35,1,0,1
KC3GBV,NA,NA,EPA,1,D,C,20,10,0,0,10,2,0,1
KC3HEO,NA,NA,WPA,1,D,C,296,123,0,0,123,2,50,1
KC3HID,NA,NA,MDC,1,D,C,56,3,0,0,3,2,50,1
KC3HLK,NA,NA,EPA,2,B1B,B,75,1,0,0,1,5,70,1
KC3HOJ,NA,NA,EPA,1,D,C,92,21,0,0,21,2,50,1
KC3ISE,NA,NA,WPA,1,B1B,B,190,8,0,0,8,5,150,1
KC3KDK,NA,NA,WPA,1,D,C,136,24,0,19,5,2,50,1
KC3YS,NA,NA,MDC,1,D,C,30,15,0,0,15,2,0,1
KC4DBZ,NA,NA,NC,1,D,C,254,127,0,0,127,2,0,1
KC4RC,NA,Kershaw Co ARC,SC,2,F,C,388,19,0,0,19,2,350,7
KC4TNQ,NA,NA,TN,1,D,C,708,148,0,131,17,2,150,1
KC4ZYP,NA,NA,GA,1,E,B,342,46,0,0,46,2,250,1
KC5OLO,NA,Key City ARC,WTX,4,F,C,3110,794,75,131,588,2,1110,51
KC5RGQ,NA,NA,NM,1,D,C,88,22,22,0,0,2,0,1
KC5VKG,NA,NA,KS,1,D,C,128,39,0,0,39,2,50,1
KC5YWN,NA,NA,AR,1,D,C,550,250,0,0,250,2,50,1
KC7CS,NA,NA,WY,1,B1B,B,410,26,0,26,0,5,150,1
KC7DM,NA,QRP all the way,OR,1,AB,B,1685,107,100,0,7,5,650,3
KC7FCW,NA,NA,WWA,1,B1B,B,240,25,13,0,12,5,50,1
KC7MCC,KE7FST,NA,ID,3,A,G,3452,802,341,48,413,2,1070,11
KC7ND,NA,NA,TN,1,E,B,450,75,75,0,0,2,150,1
KC7O,NA,NA,LAX,1,E,B,676,313,0,0,313,2,50,1
KC7SNO,NA,Shy-WY ARC,WY,3,A,G,1064,257,25,0,232,2,500,42
KC8CNN,NA,TCARA & ARES,MI,1,A,G,992,171,150,0,21,2,350,12
KC8DWR,NA,NA,MI,1,D,C,82,16,0,0,16,2,50,1
KC8IKK,NA,NA,OH,1,D,C,268,109,0,0,109,2,50,1
KC8NTE,NA,NA,MI,1,B1,G,500,49,0,26,23,2,350,1
KC8R,NA,NA,MI,1,D,C,524,121,116,0,5,2,50,1
KC8SQC,NA,NA,MI,1,B1,B,224,22,15,0,7,2,150,1
KC8UR,NA,NA,OH,1,D,C,748,117,53,64,0,2,280,1
KC8VC,W8JWN,Mich-A-Con ARC,MI,3,A,O,2244,405,89,23,293,2,1210,16
KC8WH,NA,NA,OH,1,E,B,436,84,84,0,0,2,100,1
KC8WIT,NA,Huron Co ARES,OH,3,F,C,996,256,0,50,206,1,690,13
KC9BG,NA,NA,IL,1,D,C,84,17,0,0,17,2,50,1
KC9CSH,NA,NA,IL,1,B1B,B,480,26,0,0,26,5,350,1
KC9CZH,NA,Columbia Co ARES/RACES,WI,1,A,G,504,27,0,0,27,2,450,10
KC9FKK,NA,NA,IN,1,D,C,236,93,0,0,93,2,50,1
KC9JBU,NA,NA,IL,1,D,C,160,40,0,40,0,2,0,1
KC9KQ,W9UWP,Hidden Valleys ARC & UW-Platteville,WI,2,A,G,2280,531,224,0,307,2,770,32
KC9OLF,NA,Tri-County Amateurs,IN,3,AC,C,892,71,0,0,71,2,750,10
KC9PL,NA,Big Bend ARC,IL,3,F,C,1444,177,15,130,32,2,800,4
KC9SFL,NA,Daviess Co ARC,IN,2,AC,C,974,291,110,61,120,2,50,10
KC9SGV,NA,NA,IL,2,C,B,346,36,0,12,24,2,250,2
KC9TS,NA,NA,WI,1,C,B,226,38,0,0,38,2,150,1
KC9VFQ,NA,NA,IN,1,D,C,154,26,26,0,0,2,50,1
KC9WUV,NA,NA,IL,1,E,G,304,77,0,0,77,2,150,1
KC9YFV,NA,NA,MO,1,E,B,72,11,0,0,11,2,50,1
KC9ZCA,NA,NA,IL,1,D,C,94,22,0,0,22,2,50,1
KC9ZTY,NA,NA,WI,1,E,G,176,38,0,0,38,2,100,1
KCØFUE,NA,NA,KS,1,D,C,162,4,0,2,2,2,150,1
KCØIEA,NA,NA,IA,1,B2C,C,250,50,0,0,50,2,150,2
KCØL,NA,NA,NTX,1,D,C,72,36,0,0,36,2,0,2
KCØM,NA,TRI-LAKES ARC,MO,3,A,B,1588,231,128,0,103,2,870,13
KCØRRS,NA,NA,KS,1,D,C,374,81,0,81,0,2,50,2
KCØRVS,NA,Village Seven ARC,CO,4,A,G,794,161,0,1,160,2,470,29
KCØURL,NA,NA,MN,1,B1B,B,680,53,53,0,0,5,150,1
KCØUXC,NA,NA,SD,1,E,B,730,38,38,0,0,5,350,3
KD2ABK,NA,NA,NNY,1,D,C,278,114,0,0,114,2,50,1
KD2ABL,NA,NA,WNY,1,B1B,B,180,13,13,0,0,5,50,1
KD2CTA,NA,NA,WNY,1,D,C,98,49,0,0,49,2,0,1
KD2DVW,NA,NA,SNJ,1,D,C,168,31,0,28,3,2,50,1
KD2IWW,NA,NA,ENY,1,D,C,328,120,0,19,101,2,50,1
KD2JC,NA,NA,NNJ,1,B1B,B,2790,264,264,0,0,5,150,1
KD2LMW,NA,NA,NNY,1,D,C,9,9,0,0,9,1,0,1
KD2LYE,NA,NA,WNY,1,B1C,C,36,18,0,0,18,2,0,1
KD3D,NA,NA,WPA,1,B1C,C,1310,370,285,0,85,2,0,1
KD4ADC,NA,NA,AL,1,E,B,1680,152,0,134,18,5,250,1
KD4BAO,NA,NA,SC,2,E,B,448,49,0,0,49,2,350,2
KD4CB/5,NA,NA,NM,1,B1,B,174,6,0,6,0,2,150,1
KD4QMY,NA,NA,GA,1,D,C,260,105,0,0,105,2,50,1
KD4RCW,NA,NA,IL,1,D,C,66,4,4,0,0,2,50,1
KD5ASV,NA,NA,NTX,1,E,G,362,106,0,0,106,2,150,1
KD5BBR,NA,NA,OK,2,B2,B,846,148,0,50,98,2,450,2
KD5C,W5QGG,Midland ARC,WTX,3,A,B,9168,2015,1681,203,131,2,1370,12
KD5DLZ,NA,NA,OK,1,B1,G,516,83,0,0,83,2,350,1
KD5DX,NA,Medina Co AR Corp,STX,2,A,G,900,43,0,32,11,2,750,11
KD5GSP,NA,Franklin Co ARES,AR,1,F,C,538,19,0,0,19,2,500,3
KD5KC,NA,NA,WTX,1,C,B,1530,124,92,0,32,5,450,1
KD6AAJ,NA,NA,SF,1,C,B,52,1,0,0,1,2,50,1
KD6GLN,NA,NA,ORG,1,B1B,B,115,3,0,0,3,5,100,1
KD6GWH,NA,NA,SCV,1,E,B,206,28,0,0,28,2,150,1
KD6IFF,NA,NA,OR,1,E,B,108,4,0,0,4,2,100,1
KD6LOQ,NA,NA,ORG,1,D,C,140,70,0,0,70,2,0,1
KD6RMS,NA,NA,LAX,1,B1,G,310,80,0,0,80,2,150,1
KD6WKY,NA,NA,EB,1,E,G,264,66,41,0,25,2,50,1
KD7LEE,NA,NA,WWA,1,D,C,200,40,23,12,5,2,50,1
KD7PH,AE7UF,Palouse Hills ARC,ID,2,A,G,842,84,20,17,47,2,600,12
KD7SBX,NA,NA,AZ,1,D,C,142,46,0,0,46,2,50,1
KD7WPJ,NA,NA,LAX,1,B1B,B,170,4,0,0,4,5,150,1
KD8BB,NA,NA,IN,1,B2,B,1406,628,0,0,628,2,150,2
KD8DVR,NA,NA,OH,1,D,C,100,50,0,0,50,2,0,1
KD8EFR,NA,NA,OH,1,B1,B,166,8,0,0,8,2,150,1
KD8GXI,NA,NA,OH,1,D,C,90,20,0,0,20,2,50,1
KD8KTN,NA,NA,MI,1,B1,B,186,18,0,0,18,2,150,1
KD8MC,NA,Morgan ARC,OH,4,A,G,1878,374,0,0,374,2,1130,14
KD8ORN,NA,NA,OH,1,D,C,122,36,0,0,36,2,50,1
KD8PIY,NA,NA,MI,2,E,G,464,142,0,40,102,2,100,2
KD8SQ,NA,Orrville ARS,OH,2,A,G,1072,401,0,0,401,2,270,18
KD8YDD,NA,NA,MI,1,E,B,185,7,0,0,7,5,150,1
KD8YVJ,NA,NA,OH,1,D,C,624,270,0,7,263,2,70,1
KD9CES (+KA9FQG),NA,NA,IN,1,B2,B,172,33,3,0,30,2,100,2
KD9EBS,NA,NA,IL,1,E,B,420,27,27,0,0,5,150,1
KD9EIQ,NA,NA,IL,1,A,B,402,26,0,0,26,2,350,7
KD9GY,NA,NA,IL,1,E,G,2566,1208,0,0,1208,2,150,1
KD9HMX,NA,NA,IN,1,D,C,152,51,0,0,51,2,50,1
KD9IPZ,NA,Ohio Valley ARC,IN,3,F,C,1798,381,0,183,198,2,670,15
KDØDSH,NA,The Vacationers,OK,1,AC,C,92,21,0,0,21,2,50,4
KDØFGV,NA,Warren ARS,IA,2,A,G,1042,196,0,50,146,2,550,12
KDØFZT,NA,NA,MN,1,D,C,298,74,0,0,74,2,150,1
KDØHR,NA,NA,CO,1,B1,B,200,25,0,0,25,2,150,1
KDØIOE,NA,NA,ND,1,E,G,166,8,0,0,8,2,150,1
KDØRSW,NA,NA,MO,1,D,C,200,25,0,0,25,2,150,1
KDØSZT,NA,NA,MO,1,B1C,C,240,90,0,0,90,1,150,1
KDØTOS,NA,Big Sandy AR,CO,2,A,G,1172,100,41,50,9,2,790,8
KDØVHD,NA,Kevin's Space Kadets,CO,1,A,G,2962,713,693,0,20,2,150,3
KDØWQP,NA,NA,KS,1,D,C,96,23,0,0,23,2,50,1
KDØWUF,NA,NA,KS,1,C,B,68,9,0,0,9,2,50,1
KE1S,W1DX,CTRI Contest Group,RI,2,A,G,7260,2062,1123,0,939,2,890,26
KE2YK,NA,NA,NLI,1,E,B,1030,88,88,0,0,5,150,1
KE3K,NA,NA,MI,1,E,B,1698,387,387,0,0,2,150,1
KE4FD,NA,The Northwest Florida ARC,NFL,3,AC,C,4362,1027,815,114,98,2,450,4
KE4HAM,NA,Sun City Hilton Head ARC,SC,2,A,G,430,40,0,0,40,2,350,20
KE4PWE,NA,NA,NFL,1,D,C,102,13,13,0,0,2,50,1
KE4QNO,NA,NA,MDC,1,D,C,90,20,0,0,20,2,50,1
KE4QZB,NA,NA,NC,1,E,B,760,61,61,0,0,5,150,1
KE4RG,NA,NA,VA,1,AB,B,940,89,89,0,0,5,50,3
KE4RX,NA,Roane Co ARC,TN,6,A,G,1974,258,0,4,254,2,1450,20
KE4UZL,NA,NA,SFL,1,D,C,100,25,0,0,25,2,50,1
KE4WUT,NA,NA,TN,1,D,C,66,8,0,0,8,2,50,1
KE4YVF,NA,NA,NC,3,D,C,184,45,17,5,23,2,50,6
KE4ZBI,AI4GI,Tipton ARS,TN,3,A,B,3660,746,602,87,57,2,790,12
KE4ZDJ,NA,NA,KY,1,B1,B,500,125,0,0,125,2,250,1
KE5DG,NA,NA,STX,1,E,B,248,29,0,20,9,2,150,1
KE5LOT,NA,Hays-Caldwell ARC,STX,2,AC,C,1236,139,97,7,35,2,750,20
KE5MIQ,NA,NA,NM,2,A,G,2824,476,164,247,65,2,1050,19
KE5TRB,NA,Oak Forest ARC,STX,2,AC,C,288,19,0,0,19,2,250,8
KE6MT,NA,NA,SCV,1,E,B,170,4,0,0,4,5,150,1
KE6PY,NA,NA,SDG,1,E,G,392,80,66,0,14,2,100,1
KE6RN,NA,California City ARC,SJV,3,A,G,1686,253,95,0,158,2,990,19
KE7KML,NA,San Juan Co ARS - Lopez Island,WWA,1,A,B,894,12,0,10,2,2,850,6
KE7SW,NA,NA,WWA,1,D,C,76,26,0,0,26,1,50,1
KE7WNB,NA,NA,MT,1,B1,B,62,6,0,0,6,2,50,1
KE8CEW,NA,SE Michigan Freinds,MI,2,AC,C,784,234,0,0,234,1,550,10
KE8COT,NA,Mason Co ARG,WV,3,A,G,1244,125,0,72,53,2,850,7
KE8CU,NA,NA,MI,5,A,G,1450,393,82,0,311,2,500,10
KE8OMT,NA,Mason Co ARG,WV,3,A,G,1244,125,0,72,53,2,850,7
KE8RV,N8CWU,Madison Co ARC,OH,2,A,G,3150,752,21,162,569,2,1280,22
KEØATA,NA,NA,MI,1,D,C,714,332,0,0,332,2,50,1
KEØBFR,NA,NA,MO,1,D,C,300,71,29,0,42,2,100,2
KEØCBV,NA,NA,IA,1,E,G,148,49,0,0,49,2,50,1
KEØCU,NA,NA,CO,1,D,C,214,41,38,3,0,2,50,1
KEØFIQ,NA,NA,IA,2,E,B,514,102,0,0,102,2,310,3
KEØJGH,NA,NA,MO,1,D,C,74,12,0,0,12,2,50,1
KEØJWK,NA,NA,MO,1,D,C,92,21,0,0,21,2,50,1
KEØJWQ,NA,NA,CO,1,B1B,B,350,20,0,0,20,5,250,1
KEØJYJ,NA,NA,NE,1,E,B,300,75,0,0,75,2,150,1
KEØLCK,NA,NA,CO,1,B1B,B,760,37,0,5,32,5,550,1
KEØTT,NA,NA,MN,1,B1B,B,5160,501,501,0,0,5,150,1
KF1P,NA,NA,SC,1,B1C,C,366,79,79,0,0,2,50,1
KF3BH,NA,NA,EPA,1,D,C,212,81,0,0,81,2,50,1
KF3CG,NA,NA,WPA,1,B1,G,466,158,0,0,158,2,150,1
KF3G,NA,NA,EPA,1,D,C,666,154,154,0,0,2,50,1
KF3M,NA,Hanover Area Hamming Assn,EPA,2,A,G,3210,1180,0,0,1180,2,850,14
KF4ATP,NA,Hillsborough Co ARES ARC,WCF,1,F,C,374,47,0,5,42,2,270,11
KF4JIF,NA,NA,AL,1,E,B,175,5,0,0,5,5,150,1
KF4L,NA,Clarksville Amateur Transmitting Soc,TN,2,A,G,1200,298,77,0,221,2,450,20
KF4LRN,NA,NA,NFL,1,D,C,52,1,0,0,1,2,50,1
KF4NVX,NA,NA,NC,1,D,C,188,54,15,0,39,2,50,1
KF4QFJ,NA,NA,VA,1,D,C,166,29,15,14,0,2,50,1
KF5WNV,NA,Scott Co ARC,MS,1,A,G,1640,175,140,30,5,2,950,9
KF6FIX,NA,NA,ORG,1,D,C,120,5,0,5,0,2,100,1
KF6HTE,NA,Martinez ARC,EB,2,A,B,882,66,0,0,66,2,750,16
KF6I,NA,NA,ORG,1,D,C,801,414,337,0,77,1,50,1
KF6NCX,NA,NA,SV,1,D,C,188,48,46,0,2,2,0,1
KF6NNM,KF6JAF,Friends & Amateur Radio Comm Enthusiasts,SV,2,F,C,888,143,0,116,27,2,370,5
KF6OFL,NA,NA,LAX,1,C,G,152,26,0,0,26,2,100,2
KF7AZD,NA,HTAWA,AZ,1,F,C,562,156,0,0,156,2,250,4
KF7CCC,NA,NA,AZ,1,D,C,70,10,0,0,10,2,50,1
KF7ELT,AE7JV,Musselshell ARC,MT,3,A,B,2216,275,191,7,77,2,1270,7
KF7HB,NA,NA,OR,1,B1,B,134,21,21,0,0,2,50,1
KF7MD,NA,NA,CO,1,B1B,B,5365,522,521,0,1,5,150,1
KF7RPV,NA,NA,WWA,1,E,B,290,20,0,0,20,2,250,1
KF7TCG,NA,Mouth of the Columbia ARC,OR,3,A,G,586,68,0,0,68,2,450,25
KF7UXC,NA,NA,LAX,1,C,G,184,42,0,0,42,2,100,1
KF7WPQ,NA,NA,MT,1,B1,B,54,2,0,0,2,2,50,1
KF8YO,NA,Scioto ARES,OH,3,AC,C,704,144,0,33,111,2,350,3
KFØUR,NA,NA,CO,2,B2B,B,6880,714,612,0,102,5,250,2
KFØX,NA,NA,AZ,1,B2B,B,870,57,27,0,30,5,450,2
KFØXV,NA,NA,KS,1,B1B,B,1330,118,118,0,0,5,150,1
KG1Q,NA,NA,ME,1,B1,B,68,9,0,0,9,2,50,1
KG2U,NA,NA,WNY,1,B1B,B,210,12,0,0,12,5,150,1
KG4FJC,NA,NA,VA,2,AC,C,1334,642,0,0,642,2,50,4
KG4TCC,NA,Flagler EmComm Assn,NFL,4,F,G,1740,190,101,4,85,2,1150,46
KG4WNA,NA,NA,KY,1,D,C,84,42,42,0,0,1,0,1
KG5ARD/KG5AQZ,NA,NA,WTX,2,E,B,308,20,3,6,11,2,250,2
KG5BHC,NA,NA,NTX,1,D,C,66,8,0,0,8,2,50,1
KG5DUO,N5XWN,Milam ARC,STX,2,A,G,796,33,0,15,18,2,700,10
KG5E,NA,NA,NTX,1,B1,G,794,222,0,0,222,2,350,1
KG5KRZ,NA,NA,LA,1,D,C,104,27,0,0,27,2,50,1
KG5KWO,NA,NA,LA,1,B1,G,252,26,0,0,26,2,200,1
KG5MBX,NA,NA,OK,1,E,G,860,355,0,0,355,2,150,1
KG5THW,NA,DFWCG,NTX,1,AC,C,64,7,0,0,7,2,50,3
KG6JEI,NA,AR Tower Trailer Team,SDG,1,A,G,1010,280,0,0,280,2,450,8
KG7GNN,NA,NA,AZ,1,D,C,96,13,0,10,3,2,50,1
KG7HZT,NA,NA,EWA,1,E,B,96,23,0,0,23,2,50,1
KG7JBV,NA,NA,GA,1,B1,B,96,23,0,0,23,2,50,1
KG7OKY,NA,NA,NV,1,B2,B,350,50,0,0,50,2,250,2
KG7QAR,NA,NA,TN,1,D,C,116,29,0,29,0,2,0,1
KG7RYH,NA,NA,ID,1,D,C,66,33,0,0,33,2,0,1
KG8YT,NA,NA,MI,1,D,C,450,100,100,0,0,2,50,1
KH6AQ,NA,NA,PAC,1,D,C,100,25,25,0,0,2,0,1
KH6AS,NA,NA,SF,1,E,G,292,71,0,0,71,2,150,1
