call,gota_call,final_score,class,section,power_multiplier,club_name,number_of_participants,transmitters,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,total_qsos,bonus_points,checklog_y_n
N0WKF,NA,1872,4A,IA,2,Heartland Hams ARC,5,4,G,66,179,66,311,760,NA
N0WZ,NA,330,1D,MO,2,NA,1,1,C,0,70,0,70,50,NA
N0XMD,NA,182,1E,OH,2,NA,1,1,B,0,0,16,16,150,NA
N0ZS,NA,2214,3A,MO,2,Lake of the Ozarks ARC,8,3,G,51,131,168,350,1150,NA
N1A,NE1C,14020,2AB,WMA,5,510 Radio Grp.,8,2,B,333,846,4,1183,2210,NA
N1ADX,NA,200,1D,WMA,2,NA,1,1,C,0,0,75,75,50,NA
N1AHO,NA,594,1D,MDC,2,Queen Anne’s ARC,1,1,C,0,136,0,136,50,NA
N1AMD,NA,56,1D,MI,2,NA,1,1,C,0,0,3,3,50,NA
N1API,NA,950,1D,CT,2,Meriden ARC,1,1,C,2,198,0,200,150,NA
N1ARS,NA,214,1E,WCF,2,Brandon ARS,1,1,S,0,0,32,32,150,NA
N1AU,NA,802,1E,EMA,2,HP Alumni RC,1,1,B,163,0,0,163,150,NA
N1BND,NA,198,1E,KS,2,NA,1,1,B,0,0,24,24,150,NA
N1CCC,NA,932,1B1,MO,2,NA,1,1,B,66,1,57,124,550,NA
N1CEO,NA,686,1E,EMA,2,PART of Westford,1,1,B,56,3,0,59,450,NA
N1CSP,NA,102,1D,VA,2,NA,1,1,C,0,0,26,26,50,NA
N1DC,NA,2282,1D,EMA,2,Yankee Clipper Contest Club,1,1,C,551,0,14,565,50,NA
N1DJF,NA,234,1E,NH,2,NA,1,1,G,0,0,42,42,150,NA
N1ECC,NA,492,1E,EMA,2,NA,1,1,B,0,44,33,77,250,NA
N1EDF,NA,238,1E,EMA,2,NA,1,1,B,0,22,0,22,150,NA
N1EFG,NA,318,1A,EMA,2,New England Fusion Grp.,3,1,B,17,0,0,17,250,NA
N1EK,NA,550,1E,MDC,2,Potomac Valley RC,1,1,B,0,100,0,100,150,NA
N1ET,NA,930,1D,RI,2,NA,1,1,C,0,220,0,220,50,NA
N1FD,W1SMN,5538,4A,NH,2,Nashua Area Radio Soc.,17,4,G,40,560,664,1264,1810,NA
N1FQI,NA,160,1E,CT,2,Eastern CT ARA,1,1,B,0,0,5,5,150,NA
N1FS,NA,1886,2A,VT,2,Addison Co. ARA,7,2,G,82,111,182,375,750,NA
N1FST,NA,1538,1D,NH,2,NA,1,1,C,0,210,324,534,50,NA
N1IBM,NA,678,1D,VT,2,NA,1,1,C,157,0,0,157,50,NA
N1IRO,NA,750,1B2B,VT,5,NA,2,1,B,0,31,8,39,400,NA
N1JD,NA,1354,1E,ME,2,NA,1,1,G,301,0,0,301,150,NA
N1JLF,NA,218,1E,NNY,2,NA,1,1,B,0,0,34,34,150,NA
N1KWG,NA,156,1D,NH,2,Granite State ARA,1,1,C,0,0,53,53,50,NA
N1LT,W1JY,2170,5A,NH,2,Central NH ARC,22,5,G,0,100,140,240,1490,Y
N1ME,NA,1960,2A,ME,2,Pine State ARC,30,2,G,161,0,228,389,860,NA
N1MT,NA,734,1E,WCF,2,NA,1,1,B,120,1,0,121,250,NA
N1MUY,NA,68,1D,CT,2,No Name Radio Gang,1,1,C,0,0,9,9,50,NA
N1NC,K1JEB,4937,2A,EMA,2,Nashoba Valley ARC,27,2,G,479,153,312,944,1785,NA
N1NN,NA,726,1D,EMA,2,NA,1,1,C,169,0,0,169,50,NA
N1NQD,NA,1822,1D,WNY,2,NA,1,1,C,2,435,12,449,50,NA
N1NUG,NA,410,1B1,CT,2,NA,1,1,B,0,0,80,80,250,NA
N1PRA,NA,4072,3E,RI,2,Providence Radio Assn.,5,3,G,335,428,0,763,1020,NA
N1QC,KC1TLY,2917,4A,NH,2,Granite State ARA,25,4,B,344,38,122,504,1145,NA
N1SFE,NA,682,2E,CT,2,ARRL HQ Operator's Club,2,2,B,0,11,119,130,400,NA
N1SLO,NA,2154,1D,OR,2,McMinnville ARC,1,1,C,0,526,0,526,50,NA
N1SPW,NA,100,1D,ORG,2,NA,1,1,C,0,2,21,23,50,NA
N1TEN,NA,78,1D,SDG,2,NA,1,1,C,0,0,14,14,50,NA
N1TN,W1EMA,4290,3A,ME,2,Waldo Co. ARA,25,3,G,275,231,378,884,1510,NA
N1TRK,NA,730,1B1,VT,2,Addison Co. ARA,1,1,G,0,121,48,169,150,NA
N1UJ,NA,110,1D,NC,2,Smithchart ARS,1,1,C,0,0,30,30,50,NA
N1VT,W1GMW,1694,3A,VT,2,Green Mountain Wireless Soc.,8,3,G,0,0,172,172,1350,NA
N1WEB,NA,154,1B1C,GA,2,NA,1,1,C,0,11,20,31,70,NA
N1WM,NA,2834,4A,WMA,2,Northern Berkshire ARC,25,4,G,289,0,214,503,1250,NA
N1WW,NA,3246,2A,WMA,2,Mohawk ARC,41,2,G,77,208,348,633,1410,NA
N1XK,NA,210,1B1C,IA,2,NA,1,1,C,15,0,0,15,150,NA
N1YL,NA,1398,1D,WMA,2,Hampden Co. Radio Assn.,2,1,C,297,8,14,319,150,NA
N1YMM (+N1ERA),NA,994,1B2,ME,2,NA,2,1,B,0,211,0,211,150,Y
N2A (+WK2G),NA,6528,2B2,SNJ,2,Terrible Twos,2,2,G,1280,103,323,1706,350,NA
N2AAR,NA,3880,7A,WNY,2,Keuka Lake ARA,12,7,G,335,70,305,710,1650,NA
N2B,NA,1020,3A,NNY,2,Bear Bait RC,11,3,B,0,35,65,100,750,NA
N2BEF,NA,1230,1D,ENY,2,Orange Co. (NY) ARC,1,1,C,0,270,0,270,150,NA
N2BJ,NA,2862,3D,IL,2,Metro DX Club,1,3,C,227,272,358,857,150,NA
N2CI,NA,2960,1E,NNJ,5,NA,1,1,B,281,0,0,281,150,NA
N2CJ,NA,458,2D,NNJ,2,NA,1,2,C,0,102,0,102,50,NA
N2CMC,NA,316,3A,SNJ,2,Cape May Co. ARC,9,3,G,44,0,45,89,50,NA
N2DGQ,NA,1922,1D,NNJ,2,NA,1,1,C,468,0,0,468,50,NA
N2DRC,NA,344,1A,LAX,2,Disaster Response Comm. & IT,3,1,B,0,12,23,35,250,NA
N2EIM,NA,902,1D,NNJ,2,NA,1,1,C,213,0,0,213,50,NA
N2F,NA,1006,3A,WNY,2,Town of Porter Amateur FD,3,3,G,162,77,0,239,50,NA
N2FLO,NA,1786,2F,NNJ,2,Franklin Lakes OEM RC,8,2,C,40,80,53,173,1200,NA
N2GOP,NA,168,1E,ENY,2,NA,1,1,B,0,0,9,9,150,NA
N2H,NA,758,2AC,TN,2,Hawkins Hancock AR Team,5,2,C,0,0,104,104,550,NA
N2JFS,NA,280,1AB,VT,5,Center Halifax Amateur Operated System,3,1,B,0,0,6,6,250,NA
N2JNZ,NA,294,1D,NNY,2,NA,1,1,C,61,0,0,61,50,Y
N2JPR,NA,440,1B1B,NLI,5,NA,1,1,B,29,0,0,29,150,NA
N2LBR,NA,4172,2D,ENY,2,N2LBR Contest Team,2,2,C,982,0,22,1004,200,NA
N2LDV,NA,370,1D,NLI,2,ARC EmComm Srvc.,1,1,C,0,0,160,160,50,NA
N2LEB,NA,152,1D,NLI,2,ARC EmComm Srvc.,1,1,C,0,0,1,1,150,NA
N2LEC,NA,618,1D,NNJ,2,NA,1,1,C,0,111,62,173,50,NA
N2LL,NA,2948,5A,ENY,2,Overlook Mountain ARC,26,5,G,204,76,289,569,1250,NA
N2LO,NA,54,1C,SNJ,2,Aether Wireless,1,1,O,0,0,2,2,50,NA
N2MF,NA,5770,1D,WNY,2,NA,1,1,C,1430,0,0,1430,50,NA
N2MO,NA,3736,4A,NNJ,2,Ocean Monmouth ARC,18,4,G,373,23,321,717,1510,NA
N2NBW,NA,238,1D,MN,2,NA,1,1,C,45,0,4,49,50,NA
N2NC,NA,7010,2A,WV,2,Proske's Posse,4,2,G,1389,219,114,1722,350,NA
N2NYR,NA,398,1E,SFL,2,Boca Raton ARA,1,1,G,62,0,0,62,150,NA
N2OB,N2CW,4848,3A,SNJ,2,Old Barney ARC,15,3,G,473,209,370,1052,1380,NA
N2OEF,NA,2596,3D,DE,2,NA,3,3,C,6,259,743,1008,50,NA
N2OIG,NA,94,1D,NLI,2,NA,1,1,C,10,0,2,12,50,NA
N2OO,NA,230,1D,SNJ,2,Old Barney ARC,1,1,C,20,0,0,20,150,NA
N2QFD,NA,202,1D,WNY,2,NA,1,1,C,11,2,0,13,150,NA
N2QT,NA,94,1D,VA,2,Lynchburg ARC,1,1,C,0,11,0,11,50,NA
N2RC (+KE2X),NA,1844,2B2,EPA,2,NA,2,2,B,323,0,51,374,450,NA
N2RE,N2CTW,3604,5A,NNJ,2,David Sarnoff ARC,30,5,G,253,26,169,448,2150,NA
N2RI,NA,1790,1D,NLI,2,NA,1,1,C,410,0,0,410,150,NA
N2SDB,NA,94,1D,NNJ,2,NA,1,1,C,0,0,22,22,50,NA
N2SEC,NA,1634,2D,WNY,2,NA,6,2,C,0,186,145,331,600,NA
N2SF,NA,7918,4A,ENY,2,Westchester EmComm Assn.,15,4,G,1082,187,586,1855,1670,NA
N2SO,NA,898,1D,ENY,2,Peekskill Cortlandt ARA,1,1,C,0,212,0,212,50,NA
N2SR,NA,7720,2D,SNJ,2,Frankford Radio Club,3,2,C,1714,0,407,2121,50,NA
N2TNN,NA,894,1D,VA,2,NA,1,1,C,211,0,0,211,50,NA
N2UP,NA,240,1B1,NNJ,2,Cherryville Repeater Assn. II,1,1,B,0,0,45,45,150,NA
N2USM,NA,365,1E,ENY,5,NA,1,1,B,0,0,43,43,150,NA
N2UU,NA,1494,1D,SNJ,2,NA,1,1,C,361,0,0,361,50,NA
N2UUS,NA,488,1F,NNJ,2,Manalapan Township ARES,6,1,G,0,0,19,19,450,NA
N2VAM,NA,182,1E,WNY,2,NA,1,1,B,0,0,16,16,150,NA
N2VPI,NA,314,1D,VA,2,NA,1,1,C,0,44,44,88,50,NA
N2WLY,NA,84,1D,NNJ,2,NA,1,1,C,0,0,17,17,50,NA
N2XJ,NA,4898,2A,NNJ,2,New Providence ARC,48,2,G,310,175,754,1239,1450,NA
N2YBB,NA,246,1D,NLI,2,Radio Central ARC/Order of Boiled Owls of NY,1,1,C,0,0,98,98,50,NA
N2YG,NA,184,1D,NLI,2,NA,1,1,C,0,0,67,67,50,NA
N2YY,NA,1266,1B1,NLI,2,NA,1,1,B,0,0,533,533,200,NA
N2ZN,NA,1180,1B1B,SC,5,Rochester (NY) DX Assn.,1,1,B,101,0,4,105,150,NA
N3A,NA,430,1D,WPA,2,NAQCC WPA Chapter,2,1,C,95,0,0,95,50,Y
N3ASK,NA,202,1B1,EPA,2,NA,1,1,B,0,0,26,26,150,NA
N3ATE,NA,160,1D,EPA,2,NA,1,1,C,0,0,55,55,50,NA
N3AWS,NA,325,1B1B,MS,5,NA,1,1,B,0,0,35,35,150,NA
N3BAS,NA,264,1E,WPA,2,NA,1,1,B,0,0,57,57,150,NA
N3BKV,NA,1276,1E,SJV,2,PRC/SPARC/JPLARC/CITARC,1,1,B,0,255,3,258,250,NA
N3CKI,NA,2584,1E,NC,2,Brunswick Shores ARC,1,1,B,345,202,23,570,350,NA
N3CZ,NA,750,1B1B,NC,5,NA,1,1,B,60,0,0,60,150,NA
N3DUE,NA,474,1D,MDC,2,South Carroll ARG,1,1,C,0,47,118,165,50,NA
N3EIG,NA,184,1D,WPA,2,NA,1,1,C,0,0,67,67,50,NA
N3EP,NA,1844,4F,EPA,2,Endless Mountains ARC,6,4,C,170,0,112,282,940,NA
N3EQF,NA,310,1E,SFL,2,NA,1,1,G,40,0,0,40,150,NA
N3FJP,NA,1394,1E,MDC,2,NA,3,1,S,160,0,202,362,350,NA
N3FMC,NA,882,1D,EPA,2,Pottstown ARC,1,1,C,0,208,0,208,50,NA
N3HR,NA,154,1D,EPA,2,NA,1,1,C,0,26,0,26,50,NA
N3HXZ,NA,950,1E,WPA,5,NA,1,1,B,80,0,0,80,150,NA
N3IC,K3MZ,12088,3A,MDC,2,Randallstown ARC,19,3,G,1838,107,909,2854,2490,NA
N3ION,NA,734,2B1,MDC,2,NA,1,2,B,0,121,0,121,250,Y
N3IW,NA,374,1D,WPA,2,Nittany ARC,1,1,C,56,0,0,56,150,NA
N3JT,NA,454,1D,VA,2,NA,1,1,C,101,0,0,101,50,NA
N3KCB,NA,1070,1E,DE,5,NA,1,1,B,92,0,0,92,150,NA
N3LH,NA,686,1D,MDC,2,NA,1,1,C,0,159,0,159,50,NA
N3LL,NA,4018,5D,WPA,2,Steel City ARC,30,5,C,467,257,211,935,700,NA
N3MNT,NA,310,1E,MDC,5,NA,1,1,B,26,0,0,26,50,NA
N3MWQ,NA,594,1E,DE,2,NA,1,1,B,0,12,98,110,350,NA
N3NIA,NA,1370,4A,WPA,2,Elk Co. ARA,12,4,G,0,0,210,210,950,NA
N3NQP,NA,622,1D,WPA,2,NA,1,1,C,0,143,0,143,50,NA
N3OFR (+N3RLX),NA,540,1B2B,EPA,5,NA,2,1,B,0,0,38,38,350,NA
N3OIK,NA,590,1D,WPA,2,Butler Co. AR Public Srvc. Grp.,1,1,C,0,135,0,135,50,NA
N3ORX,NA,182,1E,TN,2,NA,1,1,G,0,0,16,16,150,NA
N3OS,NA,660,1B1B,WPA,5,NA,1,1,B,31,0,0,31,350,NA
N3OSI,NA,94,1D,NV,2,Sierra Nevada ARS,1,1,C,0,0,22,22,50,NA
N3PKJ,NA,70,1D,WPA,2,NA,1,1,C,0,0,10,10,50,NA
N3PPH,NA,254,1E,MDC,2,NA,1,1,B,0,26,0,26,150,NA
N3RC,NA,68,1E,SF,2,NA,1,1,G,0,0,9,9,50,NA
N3RDV,NA,1106,1D,WPA,2,Wireless Assn. of South Hills,1,1,C,0,239,0,239,150,NA
N3RN,NA,824,1E,EPA,2,Murgas ARC,1,1,B,84,0,19,103,450,NA
N3RUM,NA,28,1D,EPA,2,NA,1,1,C,0,0,14,14,0,NA
N3SLC,NA,1098,4A,MDC,2,State Line RC,18,4,G,0,0,214,214,670,NA
N3SRC,NA,2420,8A,EPA,2,Susquehanna Co. ARC,13,8,G,130,64,147,341,1350,NA
N3SW,NA,750,1D,VA,2,NA,1,1,C,100,0,0,100,350,NA
N3TFX,NA,0,1D,WPA,1,Butler Co. AR Public Srvc. Grp.,1,1,C,0,84,0,84,0,Y
N3TTT,NA,478,1E,DE,2,NA,1,1,G,0,82,0,82,150,NA
N3TWT,W3JWK,1375,5F,EPA,2,South Mountain Radio Amateurs,54,5,C,0,21,153,174,985,NA
N3UYI,NA,222,1D,WI,2,NA,1,1,C,0,43,0,43,50,NA
N3VEM,NA,170,1D,EPA,2,Narwhal ARS,1,1,C,0,0,60,60,50,NA
N3VMC,NA,318,1E,EPA,2,NA,3,1,B,0,0,14,14,290,NA
N3WGH,NA,528,1D,DE,2,Lehigh Valley ARC,1,1,C,0,64,11,75,250,NA
N3WH,NA,1122,1E,WPA,2,Butler Co. AR Public Srvc. Grp.,1,1,G,0,0,436,436,250,NA
N3WR,NA,100,1D,EPA,2,Delaware Lehigh ARC,1,1,C,0,0,25,25,50,NA
N3Y,W3CZ,4639,2A,DE,2,Kent Co. ARC,32,2,G,780,0,242,1022,1035,NA
N3YD,NA,160,1E,PR,2,NA,1,1,B,0,0,5,5,150,NA
N3ZP,NA,490,1B1B,EPA,5,NA,1,1,B,30,4,0,34,150,NA
N4AU,NA,330,1D,AL,2,NA,1,1,C,70,0,0,70,50,NA
N4AUG,NA,534,5AC,NFL,2,St. Augustine ARS,12,5,C,11,4,112,127,250,NA
N4B,KM4EUG,3618,2F,TN,2,Tacos on the Air,23,2,C,1,524,89,614,1340,NA
N4BCJ,NA,5246,2A,NC,2,Pinecone ARC,3,2,G,653,29,634,1316,1250,NA
N4BCT,KC4AC,2839,6A,TN,2,Bledsoe Co. ARC,12,6,G,230,63,96,389,1475,NA
N4BFR,NA,714,1E,GA,2,NA,1,1,B,0,0,282,282,150,NA
N4C,W4HS,6232,5A,NC,2,KIN-WAY,37,5,G,397,0,1317,1714,2010,NA
N4CD,NA,522,1C,NTX,2,Richardson Wireless Klub,1,1,G,93,0,0,93,150,NA
N4CF,NA,858,1D,VA,2,Potomac Valley RC,1,1,C,202,0,0,202,50,NA
N4CRC,NA,2106,4A,GA,2,Coweta RC,20,4,G,219,89,12,320,850,NA
N4CSV,NA,270,1D,OH,2,NA,1,1,C,0,55,0,55,50,NA
N4CVG,NA,1652,3A,KY,2,Ruckerville Amateur Transmitting Soc.,12,3,G,233,7,71,311,550,NA
N4CWZ,NA,306,1D,NC,2,NA,1,1,C,64,0,0,64,50,NA
N4DBR,NA,172,1C,MI,2,NA,1,1,B,0,0,61,61,50,NA
N4DD,NA,6180,1B1B,VA,5,NA,1,1,B,603,0,0,603,150,NA
N4DKN,NA,470,1E,GA,2,NA,1,1,B,0,80,0,80,150,NA
N4DW,NA,618,1D,TN,2,Bristol ARC,1,1,C,109,33,0,142,50,NA
N4EE,NA,1900,2A,SC,2,Trident ARC,20,2,B,8,56,347,411,950,NA
N4EH,K4UBB,6831,5A,NFL,2,Lake Monroe ARS,101,5,G,718,250,472,1440,2015,NA
N4EK,NA,7036,3A,NFL,2,Sun Country ARS,16,3,G,1511,0,171,1682,650,NA
N4FA,NA,170,1E,SFL,2,NA,1,1,B,0,0,10,10,150,NA
N4FCG,NA,6902,1E,SFL,2,Florida Contest Grp.,2,1,B,1663,0,0,1663,250,NA
N4FL,NA,2594,3A,SFL,2,Gold Coast ARA,70,3,G,6,238,84,328,1450,NA
N4FR,WC4EOC,2608,2F,TN,2,Williamson Co. ARES,44,2,G,129,0,531,660,1030,NA
"N4FRS (KI4BXU, op)",NA,1426,1B1,VA,2,Farifax ARS,1,1,B,194,0,150,344,350,NA
N4FWD,NA,346,1D,GA,2,Silver Comet ARS,1,1,C,0,74,0,74,50,NA
N4FZ,NA,90,1D,KY,2,Paducah ARA,1,1,C,10,0,0,10,50,NA
N4GAS,NA,542,2AC,NC,2,Gaston Co. ARS,5,2,C,79,0,38,117,150,NA
N4GG,NA,808,1D,GA,2,NA,1,1,C,179,0,21,200,50,Y
N4GM,K4IR,2895,2A,NC,2,Brunswick Shores ARC,22,2,G,97,212,122,431,1415,NA
N4GMF,NA,238,1D,TN,2,West Tennessee ARS,1,1,C,0,47,0,47,50,NA
N4HCA,NA,1892,1F,WCF,2,Hillsborough Co. ARES RACES,2,1,C,0,22,352,374,1100,NA
N4HCN,NA,1760,2B2,NFL,2,NA,2,2,B,225,120,15,360,350,NA
N4IJ,NA,1165,1B1B,NC,5,NA,1,1,B,111,0,1,112,50,Y
N4IQ,NA,2090,1D,SC,2,Greer ARC,1,1,C,510,0,0,510,50,NA
N4IU,NA,670,1E,EPA,2,NA,1,1,B,98,7,0,105,250,NA
N4IV,NA,2054,3AC,NC,2,Rockingham Co. ARC,6,3,C,211,244,42,497,150,NA
N4KAA,NA,178,1E,VA,2,NA,1,1,B,0,29,6,35,50,NA
N4KGL (+NZ2I),NA,4215,2B2B,AL,5,Panama City ARC,2,2,B,170,186,1,357,650,NA
N4KHI,NA,258,1B1C,WNY,2,NA,1,1,C,0,25,54,79,50,NA
N4LCA,NA,2494,3A,KY,2,Lake Cumberland ARA,41,3,G,38,332,82,452,850,NA
N4LDB,NA,478,1B1C,SD,2,NA,1,1,C,82,0,0,82,150,NA
N4LJS,NA,322,1D,VA,2,Woodbridge Wireless,1,1,C,68,0,0,68,50,NA
N4LNR,NA,2340,2A,NC,2,Lenoir ARC,41,2,G,60,201,223,484,850,NA
N4LSJ,NA,526,1E,OH,2,Ruckerville Amateur Transmitting Soc.,1,1,G,94,0,0,94,150,NA
N4LT,NA,6448,3A,TN,2,Tennessee Valley DX Assn.,24,3,G,947,273,259,1479,1050,NA
N4MCH,NA,1274,4A,GA,2,Monroe Co. ARS,6,4,G,0,16,280,296,650,NA
N4MM,NA,40,1D,VA,2,NA,1,1,C,0,0,20,20,0,NA
N4MPA,NA,70,1D,AZ,2,NA,1,1,C,0,0,10,10,50,NA
N4MQU,NA,122,1D,NC,2,Richmond Co. ARC,1,1,C,2,0,32,34,50,NA
N4MUH,NA,690,1E,NFL,2,Florida Contest Grp.,1,1,G,20,140,0,160,50,NA
N4MZ,WB4EMA,3897,2A,AL,2,Baldwin Co. ARC,15,2,G,270,100,421,791,1575,NA
N4N,NA,6516,5A,GA,2,N4N Field Day Grp.,5,5,G,780,437,349,1566,950,NA
N4NE,KW4WL,9320,3AC,GA,2,Sawnee ARA,94,3,C,595,926,733,2254,1770,NA
N4NJJ,NA,726,1D,NV,2,Henderson ARC,1,1,C,0,164,0,164,70,NA
N4NOA,NA,234,1D,WCF,2,Brandon ARS,1,1,C,46,0,0,46,50,NA
N4NRV,NA,2382,3AC,VA,2,New River Valley ARC,35,3,C,205,105,246,556,650,NA
N4NTO,NA,1682,1E,NC,2,NA,1,1,B,383,0,0,383,150,NA
N4NZ,NA,538,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,122,0,122,50,NA
N4OAA,NA,170,1D,WCF,2,NA,1,1,C,0,0,60,60,50,NA
N4PED,NA,212,1D,VA,2,Albemarle ARC,2,1,C,0,40,1,41,50,NA
N4POW,NA,1270,2A,VA,2,Powhatan Area RC,45,2,B,0,0,250,250,770,NA
N4QET,NA,214,1D,GA,2,NA,1,1,C,0,0,82,82,50,NA
N4RF,NA,0,1D,NC,1,NA,1,1,C,300,0,0,300,0,Y
N4RLI,NA,700,1E,VA,5,Valley and Massanutten ARA,1,1,B,25,0,0,25,450,NA
N4RNJ,NA,550,1B2,NFL,2,NA,2,1,B,0,0,100,100,350,NA
N4RS,NA,618,1D,MO,2,NA,1,1,C,142,0,0,142,50,NA
N4SER,NA,722,3F,WCF,2,Sarasota Em. RC,10,3,C,0,72,12,84,410,NA
N4SJJ,NA,215,1E,WI,5,NA,1,1,B,0,0,13,13,150,NA
N4SRC,NA,2956,4A,WCF,2,Solivita Radio Club,6,4,G,145,277,159,581,950,NA
N4SV,NA,702,1E,IN,2,Northwest IN DX Club,1,1,G,0,0,326,326,50,NA
N4SWC,NA,1406,3A,NC,2,South Wake ARC,15,3,B,0,0,168,168,1070,NA
N4T/47,NA,1070,1AB,NFL,5,NA,3,1,B,72,0,0,72,350,NA
N4THM,W4PO,2108,2A,AL,2,Turkey Heaven Mtn. Repeater Assn.,17,2,B,6,121,185,312,1230,NA
N4TP,NA,2690,1E,WCF,2,Tampa ARC,8,1,G,0,0,960,960,770,NA
N4TUN,WJ4P,644,2A,AL,2,Cullman ARC,5,2,B,0,0,97,97,450,NA
N4TY,NA,4760,1B1B,KY,5,Kentucky Contest Grp.,1,1,B,461,0,0,461,150,NA
N4UH,NA,1472,3F,NC,2,Rowan ARS,13,3,C,175,130,101,406,50,NA
N4UJ,NA,550,1D,GA,2,Alford Memorial RC,2,1,C,105,0,40,145,50,NA
N4UL,NA,938,1D,KY,2,ARTS of Louisville,1,1,C,222,0,0,222,50,NA
N4VGE,NA,104,1B1,VA,2,NA,1,1,G,0,0,27,27,50,NA
N4VSD,NA,520,1B1B,TN,5,NA,1,1,B,37,0,0,37,150,NA
N4YHC,NA,114,1D,KY,2,NA,3,1,C,0,11,0,11,70,NA
N4Z,NA,2546,5A,NC,2,N4Z Field Day,50,5,G,125,50,248,423,1350,NA
N5AT,NA,900,2A,AR,2,Arkansas Radio Em. Srvc.,19,2,B,14,0,147,161,550,NA
N5BL,AI5MI,4391,3A,NM,2,Mesilla Valley RC,10,3,G,0,706,101,807,1365,NA
N5BLY,NA,0,1D,MS,0,NA,1,1,C,0,0,5,5,0,Y
N5CLS,NA,64,1D,NTX,2,NA,2,1,C,2,0,3,5,50,NA
N5CMH,NA,1598,1D,OK,2,NA,1,1,C,37,350,0,387,50,NA
N5CXX,NA,3948,2E,NTX,2,Collins ARC,3,2,G,640,117,235,992,450,NA
N5DCH,NA,130,1D,NM,2,NA,1,1,C,20,0,0,20,50,NA
N5EN,NA,1194,1D,STX,2,Northwest ARS,1,1,C,0,261,0,261,150,NA
N5EOC,NA,1528,2A,NTX,2,Northeast Tarrant ARC,25,2,B,128,0,33,161,950,NA
N5EP,NA,1400,1B1B,WI,5,Fox River Radio League,1,1,B,125,0,0,125,150,NA
N5GI,NA,182,1D,NFL,2,NA,1,1,C,0,0,66,66,50,NA
N5GK,W5AUU,3064,3A,AR,2,Faulkner Co. ARC,31,3,G,168,0,706,874,980,NA
N5GSG,NA,168,1E,NTX,2,Irving ARC,1,1,B,4,0,1,5,150,NA
N5HD,NA,786,1D,NTX,2,Richardson Wireless Klub,1,1,C,184,0,0,184,50,NA
N5KB,NA,250,1D,IA,2,Minnesota Wireless Assn.,2,1,C,0,0,100,100,50,NA
N5KIP,NA,678,1D,NTX,2,Richardson Wireless Klub,1,1,C,132,0,0,132,150,NA
N5LB,NA,358,1D,MN,2,Stillwater ARA,1,1,C,77,0,0,77,50,NA
N5LOW,NA,682,1D,STX,2,NA,1,1,C,101,57,0,158,50,NA
N5MDA (+N5USC),NA,272,1B2,CO,2,Echelon ARC,2,1,B,1,10,39,50,150,NA
N5MJ,NA,90,1D,NM,2,NA,1,1,C,0,0,20,20,50,NA
N5MSC,NA,2053,4A,AR,2,Cross Co. ARC/Crowley Ridge ARC/MidSouth Com.,22,4,B,100,26,177,303,1195,NA
N5MT,NA,398,1D,LA,2,Brazos Valley ARC,1,1,C,0,0,124,124,150,NA
N5NAA,NA,1450,1B1B,STX,5,NA,1,1,B,130,0,0,130,150,NA
N5NEN,NA,402,1D,STX,2,NA,1,1,C,1,0,174,175,50,NA
N5OAK,NA,1916,6A,STX,2,Oak Hill ARC,6,6,G,5,153,137,295,1010,NA
N5OS,NA,2672,7F,MS,2,Jackson Co. ARA,11,7,G,0,234,68,302,1600,NA
N5OX,NA,464,2A,WTX,2,Prairie Dog ARC,4,2,B,0,0,57,57,350,NA
N5PC,NA,816,3A,OK,2,Kay Co. ARC,20,3,B,15,36,31,82,550,NA
N5PJ,NA,1604,2E,OK,2,Oklahoma City Autopatch Assn.,4,2,G,270,0,12,282,500,NA
N5QNS,NA,100,1D,WTX,2,NA,1,1,C,0,0,25,25,50,NA
N5SMI,NA,170,1D,TN,2,NA,2,1,C,0,0,50,50,70,NA
N5SMQ,NA,326,1D,VA,2,Valley and Massanutten ARA,1,1,C,0,69,0,69,50,NA
N5TIT,NA,434,1C,CO,2,NA,1,1,G,0,71,0,71,150,NA
N5TJ,NA,4834,1D,STX,2,NA,1,1,C,1174,22,0,1196,50,NA
N5TT,NA,3194,4A,STX,2,Williamson Co. ARC,39,4,G,109,183,318,610,1390,NA
N5UE,NA,2050,1E,MS,5,NA,1,1,B,190,0,0,190,150,NA
N5VBP,NA,434,3D,OK,2,NA,6,3,C,0,0,142,142,150,NA
N5VDQ,NA,1364,3AC,NTX,2,Venture Crew 520,18,3,C,84,96,147,327,350,NA
N5VF,NA,906,1D,VA,2,NA,1,1,C,202,0,24,226,50,NA
N5VIS,NA,646,1D,NFL,2,NA,1,1,C,0,149,0,149,50,NA
N5VU,NA,450,1D,NTX,2,NA,1,1,C,100,0,0,100,50,NA
N5WAJ,NA,1402,3F,STX,2,Houston ECHO Soc./Oak Forest ARC,20,3,C,0,8,85,93,1200,NA
N5WF,NA,2578,2A,NTX,2,Wichita ARS,38,2,G,174,226,64,464,850,Y
N5WJS,NA,178,1D,NTX,2,Dallas ARC,1,1,C,0,32,0,32,50,NA
N5XJ,NA,210,1D,STX,2,NA,1,1,C,40,0,0,40,50,NA
N5XQK,K5CFY,1876,4A,OK,2,Rogers Co. Wireless Assn.,12,4,B,8,39,94,141,1500,NA
