call,gota_call,final_score,qst_class_plus,section,power_multiplier,club_name,number_of_participants,number_of_transmitters,power_source,total_cw_qs_os,total_digital_qs_os,total_phone_qs_os,total_qsos,bonus_points
K9JK,NA,406,1C,IL,2,NA,1,1,G,11,0,56,67,250
K9KFR,NA,62,1D,IN,2,NA,1,1,C,1,2,0,3,50
K9KJ,NA,1150,1B1B,IN,5,NA,1,1,B,100,0,0,100,150
K9LA,NA,234,1B1,IN,2,NA,1,1,B,19,0,4,23,150
K9MA,NA,2220,1B1B,WI,5,NA,1,1,B,207,0,0,207,150
K9MAF,NA,584,2B2,IN,2,NA,2,2,B,0,0,217,217,150
K9MCE,KD9EFO,4344,3A,IL,2,Macoupin Co. ARC,13,3,G,341,140,525,1006,1370
K9MMS,NA,1350,1D,IL,2,NA,1,1,C,300,0,0,300,150
K9MOT,NA,1724,1A,WI,2,Motorola ARC,7,1,G,42,0,343,385,870
K9NYO,NA,102,1C,IL,2,NA,1,1,B,0,0,26,26,50
K9OM,NA,4662,1E,WI,2,NA,1,1,G,1078,25,0,1103,250
K9ONA,NA,1324,2A,IL,2,Six Meter Club of Chicago,18,2,G,41,0,330,371,500
K9OR,WM9Q,10440,3A,IL,2,North Shore RC,75,3,G,1630,0,1115,2745,1690
K9RE/8,NA,102,1D,MI,2,NA,1,1,C,0,0,26,26,50
K9RL,NA,184,1E,OR,2,NA,1,1,B,0,0,17,17,150
K9RN,KD9M,8272,2A,IL,2,McHenry Co. Wrls Assn.,21,2,G,1369,0,818,2187,1160
K9SA,NA,1114,1A,IL,2,Suburban UHF ARS,15,1,G,101,0,130,231,450
K9SW,NA,410,1E,IL,2,NA,1,1,B,65,0,0,65,150
K9T,NA,1380,2A,IL,2,N IL Quad Co. ARG,8,2,G,0,0,215,215,950
K9TWW,NA,76,1D,MN,2,NA,1,1,C,0,0,38,38,0
K9UO,NA,174,1D,IN,2,NA,1,1,C,0,31,0,31,50
K9UQN,NA,655,1D,TN,1,NA,1,1,C,247,0,11,258,150
K9UW,NA,432,1D,WI,2,NA,1,1,C,8,0,175,183,50
K9UXZ,NA,1596,4A,IL,2,National Trail ARC,10,4,G,0,0,373,373,850
K9VND,NA,2936,5A,IN,2,Blackford ARC,44,5,G,176,10,521,707,1150
K9WKD,NA,210,1E,IL,2,NA,1,1,B,0,0,80,80,50
K9WPV,NA,164,1D,IN,2,NA,1,1,C,0,0,57,57,50
K9WWW,NA,98,1D,WWA,2,NA,1,1,C,0,0,24,24,50
K9YAW,NA,264,1E,IL,2,NA,1,1,B,0,0,57,57,150
K9YNP,NA,420,1B1,MT,2,NA,1,1,B,0,0,35,35,350
K9ZA,NA,5162,1A,IL,2,Federation of AR Operators,3,1,G,978,0,250,1228,750
K9ZEV,NA,620,4AC,IN,2,Miami Co. ARC,7,4,C,0,0,285,285,50
K9ZU,NA,387,1C,MDC,1,NA,1,1,B,158,0,21,179,50
KA1C,NA,168,1D,ME,2,NA,1,1,C,37,0,10,47,0
KA1DTG,NA,220,1B1B,WMA,5,NA,1,1,B,0,0,14,14,150
KA1GG,NA,1454,2F,EMA,2,SEMARG & PILGRIM,5,2,C,0,0,652,652,150
KA1KNW,NA,122,1C,CT,2,NA,1,1,G,0,0,11,11,100
KA1RFD,NA,70,1D,ME,2,NA,1,1,C,5,0,0,5,50
KA1VMG,NA,446,1D,CT,2,NA,1,1,C,0,0,148,148,150
KA2AEY,NA,310,1D,WNY,2,NA,1,1,C,65,0,0,65,50
KA2BEO,NA,680,1B1B,SNJ,5,NA,1,1,B,53,0,0,53,150
KA2DTH,NA,144,1D,VT,2,NA,1,1,C,0,0,47,47,50
KA2ENE,NA,174,1D,WNY,2,NA,1,1,C,0,0,87,87,0
KA2FHN,NA,1545,1EB,WNY,5,NA,1,1,B,70,36,47,153,250
KA2FIR,NA,352,1D,NNJ,2,NA,1,1,C,65,0,46,111,0
KA2IWK,NA,200,1D,WNY,2,NA,1,1,C,0,0,25,25,150
KA2QYA,NA,445,1B1B,WNY,5,NA,1,1,B,0,29,1,30,150
KA2SJG,NA,470,1B1B,NNY,5,NA,1,1,B,27,0,0,27,200
KA2YRA,NA,280,1B1B,ENY,5,NA,1,1,B,0,0,6,6,250
KA3KSP,NA,106,1C,WPA,2,NA,1,1,G,0,0,28,28,50
KA3PMW,NA,3374,3A,WPA,2,Redneck Hams,4,3,G,47,62,1094,1203,750
KA3PVM,NA,1066,2A,MDC,2,NA,3,2,G,131,48,0,179,350
KA4HHM,NA,910,1B1B,NFL,5,NA,1,1,B,0,56,0,56,350
KA4NDY,NA,130,1E,AL,2,NA,2,1,G,0,0,15,15,100
KA4NXP,NA,398,1D,KY,2,NA,1,1,C,0,0,174,174,50
KA4ZBN,NA,308,1E,SC,2,NA,1,1,B,0,0,29,29,250
KA5B,NA,1000,3A,NM,2,E NM ARC,12,3,G,0,45,65,110,690
KA5CJJ,NA,2705,2AB,NTX,5,SLOCC II,3,2,B,209,23,27,259,250
KA5M,NA,1774,1E,LA,2,NA,1,1,G,406,0,0,406,150
KA5VZG,NA,514,1D,TN,2,NA,1,1,C,0,116,0,116,50
KA6ZMU,NA,360,2A,SJV,2,Meyers Family,3,2,B,1,0,3,4,350
KA6ZTO,NA,84,1E,ORG,2,NA,1,1,G,0,0,17,17,50
KA7EOC,NA,742,2F,WWA,2,Peninsula AR Emergency Team,12,2,C,0,10,126,136,450
KA7NPQ,NA,122,1D,AZ,2,NA,1,1,C,0,0,36,36,50
KA7PTW,NA,88,1D,AZ,2,NA,1,1,C,0,0,19,19,50
KA7RGW,NA,78,1D,AZ,2,NA,1,1,C,0,0,14,14,50
KA7RON,NA,32,1D,WWA,2,NA,1,1,C,0,0,16,16,0
KA8GFB,NA,750,1B2,OH,2,NA,2,1,B,0,0,200,200,350
KA8GKT,NA,825,1B2B,IN,5,NA,2,1,B,31,0,33,64,350
KA9EAK,NA,156,1D,WI,2,NA,1,1,C,0,0,53,53,50
KA9IVY,NA,82,1B1C,SC,2,NA,1,1,C,0,0,16,16,50
KA9PHI,NA,128,1D,IL,2,NA,3,1,C,0,0,39,39,50
KAØAIG,NA,378,1E,MO,2,NA,1,1,B,0,0,64,64,250
KB1HQS,NA,400,1B1B,VA,5,NA,1,1,B,0,0,10,10,350
KB1HXO,NA,580,1B1B,WMA,5,NA,1,1,B,0,0,46,46,350
KB1UMD,NA,158,1E,EMA,2,NA,1,1,B,0,0,4,4,150
KB1W,NA,310,1D,WMA,1,NA,1,1,C,87,0,136,223,0
KB1WLB,NA,540,1D,RI,2,NA,1,1,C,0,34,177,211,50
KB1YO,NA,248,1D,CT,2,NA,1,1,C,0,0,99,99,50
KB2MN,NA,636,1E,SNJ,2,NA,2,1,B,93,0,7,100,250
KB2URI,NA,952,3E,WNY,2,NA,1,3,B,3,9,77,89,750
KB2YEK,NA,128,1C,NLI,2,NA,1,1,B,0,0,39,39,50
KB3DSR,NA,714,1A,EPA,2,Mason-Dixon Signal Corp,6,1,B,0,0,172,172,370
KB3IPZ,NA,280,1B1,EPA,2,NA,1,1,G,0,0,15,15,250
KB3NRL,NA,182,1B1,EPA,2,NA,1,1,G,0,0,16,16,150
KB3USC,NA,155,1EB,MDC,5,NA,1,1,B,0,0,11,11,100
KB3ZVH,NA,76,1D,WPA,2,NA,1,1,C,0,0,38,38,0
KB4CC,NA,630,2F,GA,2,Camden Co. (GA) ARS,7,2,C,0,22,146,168,250
KB4LHP,NA,196,1E,NFL,2,NA,1,1,G,0,0,23,23,150
KB4RG,NA,476,1E,WTX,2,NA,1,1,G,0,0,63,63,350
KB5FIO,NA,1020,1B1B,NTX,5,NA,1,1,B,0,57,0,57,450
KB5IOC,NA,496,3AC,AR,2,Miller Co. ARES,4,3,C,0,0,73,73,350
KB5NJD,NA,54,1D,NTX,2,NA,1,1,C,1,0,0,1,50
KB5TX,NA,3124,5F,STX,2,NA,20,5,C,413,18,225,656,950
KB6A,NA,498,1D,ORG,2,NA,1,1,C,84,0,6,90,150
KB6DEF,NA,160,1EB,EB,5,NA,1,1,B,0,1,0,1,150
KB6EOC,NA,1782,2F,EB,2,Benicia ARC EOC,56,2,C,65,0,276,341,970
KB6UNC,NA,980,1D,UT,2,NA,1,1,C,122,0,196,318,100
KB7HDX,NA,62,1D,EWA,2,NA,1,1,C,0,0,6,6,50
KB7LJP,NA,910,1B1B,WWA,5,NA,1,1,B,56,0,0,56,350
KB7MLK,NA,380,1B2,NTX,2,NA,2,1,G,0,0,165,165,50
KB7VET,NA,148,1C,NV,2,NA,5,1,G,2,0,20,22,100
KB7XL,NA,494,1B2,NV,2,NA,2,1,B,0,0,122,122,250
KB7YIV,NA,200,1B2B,ID,5,NA,2,1,B,0,0,6,6,170
KB7YSY,NA,124,1D,AZ,2,NA,1,1,C,0,0,37,37,50
KB8PGW,NA,1950,1B1B,MI,5,NA,1,1,B,170,0,0,170,250
KB8RPO,NA,190,1E,NH,2,NA,1,1,G,0,21,28,49,50
KB8SB,NA,72,1D,NFL,1,NA,1,1,C,0,0,22,22,50
KB8U,NA,404,1C,MI,2,NA,1,1,B,88,0,1,89,50
KB8UHN,NA,690,1B1,OH,2,NA,1,1,B,0,0,220,220,250
KB8ZUN,NA,675,1B2B,VA,5,NA,2,1,B,20,0,1,21,470
KB9AFW,NA,148,1D,MI,2,NA,1,1,C,0,0,74,74,0
KB9GC,NA,302,1B1,TN,2,NA,1,1,B,0,0,76,76,150
KB9GEG,NA,108,1D,IL,2,NA,1,1,C,0,0,29,29,50
KB9TIM,NA,138,1D,WI,2,NA,1,1,C,0,4,36,40,50
KB9YJH,NA,622,2AC,IN,2,Sprow Family,3,2,C,0,60,106,166,170
KBØLF,NA,310,1EB,NE,5,NA,1,1,B,16,0,0,16,150
KBØLQJ,NA,325,1B1B,UT,5,NA,1,1,B,0,0,15,15,250
KBØSMX,NA,2240,3A,NE,2,Plattsmouth ARC,30,3,G,76,0,443,519,1050
KBØTLL,KØAMC,1952,1A,MO,2,Jefferson Cty ARC & Ancient Modulators,22,1,B,0,0,791,791,370
KBØVAC,NA,678,3A,KS,2,Flinthills ARC,12,3,G,0,8,98,106,450
KBØYH,NA,548,1E,CO,2,NA,1,1,B,0,0,99,99,350
KBØYTO,NA,256,1B1,NE,2,NA,1,1,G,0,0,3,3,250
KC1CIL,WA1LEI,2188,4F,CT,2,Woodmont ARA,10,4,G,0,86,372,458,1100
KC1CNO,NA,350,1EB,CT,5,NA,1,1,B,0,0,40,40,150
KC1CUE,KC1JWD,3300,2F,RI,2,Coventry EMA,32,2,C,0,0,1035,1035,1230
KC1EWL,NA,22,1D,WMA,2,NA,1,1,C,0,0,11,11,0
KC1FID,NA,1266,2F,WMA,2,Springfield RACES Club,4,2,C,0,0,103,103,1060
KC1FOZ,NA,554,1B1,NH,2,NA,1,1,G,0,0,102,102,350
KC1PUG,NA,96,1D,WMA,2,NA,1,1,C,0,0,23,23,50
KC1WD,NA,62,1D,EMA,2,NA,1,1,C,3,0,0,3,50
KC2DPF,NA,378,1D,VA,2,NA,1,1,C,0,0,164,164,50
KC2FYH,NA,324,1D,ENY,2,NA,2,1,C,0,40,57,97,50
KC2LST,NA,33,1D,NNJ,1,NA,1,1,C,0,0,33,33,0
KC2NYP,NA,16,1B1C,SNJ,2,NA,1,1,C,0,0,8,8,0
KC2OUR,NA,652,4F,ENY,2,Orange Co. NY ARES/RACES,10,4,C,0,0,301,301,50
KC2PDO,NA,184,1D,NNJ,2,NA,1,1,C,0,0,67,67,50
KC2RC,NA,2270,2A,NLI,2,Kings Co. RC,20,2,G,33,0,724,757,690
KC2TFI,NA,62,1D,WNY,2,NA,1,1,C,0,0,6,6,50
KC2TI,NA,2106,3A,NNY,2,Thousand Islands RC,30,3,G,78,32,368,478,930
KC2WI,NA,288,1E,NNY,2,NA,1,1,B,0,0,69,69,150
KC3ARC,W3DOV,4100,2A,DE,2,NA,20,2,G,414,73,566,1053,1020
KC3BVR,NA,116,1B1C,EPA,2,NA,1,1,C,0,9,15,24,50
KC3EF,NA,190,1E,NFL,2,NA,1,1,G,0,22,26,48,50
KC3EYS,NA,90,1EB,WPA,5,NA,1,1,B,0,0,8,8,50
KC3GYU,NA,90,1D,WPA,2,NA,1,1,C,0,0,20,20,50
KC3HMY,NA,206,1D,MDC,2,NA,1,1,C,0,0,28,28,150
KC3HOJ,NA,74,1D,EPA,2,NA,1,1,C,0,0,12,12,50
KC3IPF,NA,172,1B1,EPA,2,NA,1,1,B,0,0,61,61,50
KC3KDK,NA,84,1D,WPA,2,NA,2,1,C,0,0,17,17,50
KC3WX,NA,4768,1E,EPA,2,NA,1,1,G,995,0,219,1214,350
KC4RC,KB1ND,1053,2F,SC,1,Kershaw Co. ARC,12,2,C,11,0,171,182,860
KC4TNQ,NA,514,1D,TN,2,NA,1,1,C,0,95,42,137,50
KC4UG,NA,500,1AC,AL,2,W AL ARC,18,1,C,0,0,125,125,250
KC5CWW,KD4VVZ,952,2AC,MS,2,CW Wings & More ARC,10,2,C,0,0,171,171,610
KC5DR,WA5WX,1982,2A,LA,2,LA Delta RC,45,2,G,5,66,324,395,1050
KC5GOI,NA,144,1B1,OK,2,NA,1,1,B,0,0,47,47,50
KC5JRT,NA,52,1D,STX,2,NA,1,1,C,0,0,1,1,50
KC5OLO,NA,1164,3A,WTX,2,Key City ARC,55,3,G,40,59,159,258,450
KC5ULN,NA,288,3AC,MS,2,Lowndes Co. ARC,14,3,C,7,0,105,112,50
KC5YWN,NA,668,1D,AR,2,NA,1,1,C,0,0,309,309,50
KC7ARS,NA,1302,1A,NV,2,Churchill ARS,4,1,B,0,0,276,276,750
KC7FCW,NA,500,1B1B,WWA,5,NA,1,1,B,16,0,18,34,250
KC7O,NA,580,1E,LAX,2,NA,1,1,B,0,2,211,213,150
KC7RAD,NA,790,1B1B,IL,5,NA,1,1,B,0,0,128,128,150
KC7Z,NA,1754,2A,WWA,2,Kitsap Co. ARC,20,2,G,93,0,266,359,850
KC8BW,NA,418,1E,MI,2,NA,1,1,G,67,0,0,67,150
KC8GTE,NA,24,1D,MI,2,NA,1,1,C,0,0,12,12,0
KC8LKB,NA,116,1D,WTX,2,NA,1,1,C,0,0,33,33,50
KC8NTE,NA,548,1A,MI,2,Northern MI ARES,3,1,G,0,17,15,32,450
KC8R,NA,434,1D,MI,2,NA,1,1,C,96,0,0,96,50
KC8VC,W8JWN,1868,3A,WI,2,Mich-A-Con ARC,16,3,G,86,81,175,342,850
KC8ZMN,NA,176,1D,MI,2,NA,1,1,C,0,0,88,88,0
KC9BBW,NA,8,1D,VA,2,NA,1,1,C,0,0,4,4,0
KC9BZL,NA,202,1E,IN,2,NA,1,1,G,13,0,0,13,150
KC9CZH,NA,698,3A,WI,2,Columbia Co. ARES/RACES,4,3,G,0,0,74,74,550
KC9KQ,W9UWP,2346,2A,WI,2,Hidden Valleys ARC & UW-Platteville ARC,25,2,G,255,0,198,453,930
KC9OLF,NA,346,3AC,IN,2,Tri-Country Club,4,3,C,0,0,98,98,150
KC9SFL,NA,1058,3AC,IN,2,Daviess Co. ARC,22,3,C,0,0,204,204,650
KC9SNM,NA,1452,2E,IL,2,NA,5,2,G,284,0,33,317,250
KC9UXC,NA,90,1C,WI,2,NA,1,1,G,0,0,20,20,50
KC9ZGY,NA,375,1B1B,WI,5,NA,1,1,B,0,12,21,33,150
KCØCQD,NA,134,1D,MO,2,NA,1,1,C,0,0,42,42,50
KCØFUE,NA,94,1D,KS,2,NA,1,1,C,0,9,4,13,50
KCØIEA,NA,358,1B1C,IA,2,NA,1,1,C,0,0,54,54,250
KCØM,NA,1258,2A,MO,2,Tri-Lakes ARC,12,2,B,107,0,40,147,750
KCØQIK,NA,146,1D,MO,2,NA,1,1,C,15,9,0,24,50
KCØQYU,NA,70,1E,CO,2,NA,1,1,B,0,0,10,10,50
KCØUXC,NA,666,1E,SD,2,NA,1,1,B,104,0,0,104,250
KCØZIE,NA,128,2B2,CO,2,NA,2,2,B,0,0,39,39,50
KD1TF,NA,130,1C,EMA,2,NA,1,1,G,0,0,15,15,100
KD2ABL,NA,164,1C,ENY,2,NA,1,1,G,0,0,7,7,150
KD2DVW,NA,76,1D,SNJ,2,NA,1,1,C,0,6,1,7,50
KD2ETT,NA,1480,3A,WNY,2,CNY Contesters,6,3,B,0,20,175,195,1050
KD2FIL,NA,70,1D,WNY,2,NA,1,1,C,0,0,10,10,50
KD2FN,NA,128,1D,NLI,2,NA,1,1,C,0,0,39,39,50
KD2GYO,NA,166,1D,ENY,2,NA,1,1,C,0,0,58,58,50
KD2HFN,NA,128,1D,NLI,2,NA,1,1,C,0,0,39,39,50
KD2IWW,NA,664,1D,ENY,2,NA,1,1,C,138,5,21,164,50
KD2JC,NA,2200,1B1B,NNJ,5,NA,1,1,B,210,0,0,210,100
KD2KSG,NA,74,1D,WNY,2,NA,1,1,C,0,0,37,37,0
KD2KWT,NA,2202,4A,NNJ,2,Wayne Radio Amateur Emerg Team,10,4,G,0,63,355,418,1240
KD2LIL,NA,1190,2A,ENY,2,Columbia Co. (NY) ARES,11,2,G,30,0,160,190,750
KD2LMW,NA,256,1D,NNY,2,NA,1,1,C,0,8,87,95,50
KD2NOP,NA,26,1D,NLI,1,NA,1,1,C,0,2,22,24,0
KD2NSA,NA,570,1D,ENY,2,NA,1,1,C,0,0,210,210,150
KD2OMV,NA,90,1D,NNY,2,NA,1,1,C,10,0,0,10,50
KD4ADC,NA,618,1D,AL,2,NA,1,1,C,96,21,0,117,150
KD4BTD,NA,318,1D,SFL,2,NA,2,1,C,0,0,34,34,250
KD4EE,NA,1240,1B2B,KY,5,NA,2,1,B,119,0,0,119,50
KD4NLE,NA,215,1B1B,WCF,5,NA,1,1,B,0,0,3,3,200
KD4QMY,NA,168,1D,GA,2,NA,1,1,C,0,0,59,59,50
KD5BBR,NA,290,2B2,OK,2,NA,2,2,G,0,16,38,54,150
KD5C,W5QGG,7638,3A,WTX,2,Midland ARC,20,3,G,1382,6,518,1906,1050
KD5COL,NA,218,1D,TN,2,NA,1,1,C,0,0,84,84,50
KD5DLZ,NA,390,1B1,OK,2,NA,1,1,G,0,0,70,70,250
KD5DX,AK5FM,768,3A,STX,2,NA,14,3,G,0,0,49,49,670
KD5TKR,NA,72,1E,WTX,2,NA,1,1,G,0,0,11,11,50
KD5WBW,NA,174,1D,NTX,2,NA,1,1,C,0,0,12,12,150
KD5YPH,NA,134,1D,CO,2,NA,1,1,C,0,8,26,34,50
KD6GWH,NA,58,1D,SB,2,NA,1,1,C,0,0,4,4,50
KD6OAU,NA,90,1D,ORG,2,NA,1,1,C,0,0,20,20,50
KD6RMS,NA,380,1B1,LAX,2,NA,1,1,G,0,0,115,115,150
KD7KKC,NA,474,1E,ID,2,NA,1,1,B,0,0,162,162,150
KD7PH,KI7BSW,1192,2A,ID,2,Palouse Hills ARC,13,2,G,12,33,56,101,900
KD8ATF,NA,390,1D,WV,2,NA,1,1,C,0,33,79,112,100
KD8BB,NA,528,1A,IN,2,NA,3,1,B,0,0,189,189,150
KD8BBK,NA,462,1D,OH,2,NA,1,1,C,103,0,0,103,50
KD8KTN,NA,162,1B1,MI,2,NA,1,1,B,0,0,6,6,150
KD8LBS,NA,2640,3AB,OH,5,OH Valley Experimenters Club,15,3,B,102,3,116,221,1010
KD8OBW,NA,136,1D,OH,2,NA,1,1,C,0,0,43,43,50
KD8ORN,NA,170,1E,OH,2,NA,1,1,B,0,0,60,60,50
KD8SQ,NA,1172,2A,OH,2,Orrville ARS,14,2,G,0,0,411,411,350
KD8TNF,NA,90,1D,OH,1,NA,1,1,C,12,0,16,28,50
KD8UWF,NA,132,1D,WV,2,NA,1,1,C,0,0,41,41,50
KD8YNG,NA,246,1D,OH,2,NA,1,1,C,0,0,98,98,50
KD8ZUY,NA,1020,1A,WPA,2,Kreuter Family FD,4,1,G,0,0,435,435,150
KD9CES,NA,312,1B2,IN,2,NA,2,1,B,0,0,81,81,150
KD9EBS,NA,400,1EB,IL,5,NA,1,1,B,25,0,0,25,150
KD9EII,NA,124,1D,IL,2,NA,1,1,C,0,0,37,37,50
KD9FHR,NA,86,1F,IL,2,Madison Co. ARES / EMA,1,1,C,0,0,18,18,50
KD9GOL,NA,92,1D,IL,2,NA,1,1,C,0,0,21,21,50
KDØCI,NA,1894,2A,MN,2,Mora Open Rptr Assn.,21,2,G,78,72,62,212,1170
KDØHR,NA,380,1B1,CO,2,NA,1,1,B,0,0,65,65,250
KDØIOE,NA,240,1E,ND,2,NA,1,1,G,0,16,13,29,150
KDØJLE,NA,86,1D,CO,1,NA,1,1,C,0,0,36,36,50
KDØLHI,NA,762,2E,ID,2,NA,2,2,G,0,0,56,56,650
KDØMVJ,NA,668,2F,IA,2,Johnson Co. ARES/RACES Unit,6,2,O,0,0,59,59,550
KDØRSX,NA,110,1D,MO,2,NA,1,1,C,0,0,55,55,0
KDØVHD,NA,2706,1A,CO,2,NA,4,1,G,664,0,0,664,50
KDØVUB,NA,162,1E,NE,2,NA,1,1,G,0,0,6,6,150
KE1IU,NA,2628,1E,CT,2,NA,2,1,G,465,26,37,528,590
KE1S,W1DX,5330,2A,RI,2,CTRI Contest Grp,20,2,G,728,0,764,1492,890
KE2WY,NA,502,1D,WNY,2,NA,1,1,C,113,0,0,113,50
KE3GK,NA,520,1E,MDC,2,NA,1,1,G,0,5,175,180,150
KE4D,NA,86,1E,NFL,2,NA,1,1,G,0,0,18,18,50
KE4FD,NA,1538,3AC,NFL,2,NW FL ARC,5,3,C,10,169,186,365,450
KE4HAM,NA,1150,3A,SC,2,Sun City Hilton Head ARC,19,3,G,19,3,6,28,1050
KE4OBT,NA,132,1D,NFL,2,NA,1,1,C,0,0,41,41,50
KE4RX,NA,1758,4A,TN,2,Roane Co. ARC,25,4,G,0,2,240,242,1270
KE4TP,NA,118,1D,WCF,2,NA,1,1,C,0,0,34,34,50
KE4UKX,NA,754,1E,VA,2,NA,7,1,B,126,0,0,126,250
KE4UZL,NA,205,1EB,SFL,5,NA,1,1,B,0,0,11,11,150
KE4VA,NA,340,1D,SC,2,NA,1,1,C,0,0,145,145,50
KE4WUT,NA,72,1D,TN,2,NA,3,1,C,0,0,11,11,50
KE4YVF,NA,1634,4AC,VA,2,Yadkin Valley ARC,8,4,C,158,0,376,534,250
KE5FSY,NA,770,4F,AR,2,NA,5,4,C,0,15,80,95,550
KE5NJ,NA,158,1D,DE,2,NA,1,1,C,0,0,79,79,0
KE5TRB,NA,910,4A,STX,2,Oak Forest ARC,10,4,G,1,4,70,75,750
KE5ZDZ,NA,55,1EB,STX,5,NA,2,1,B,0,0,1,1,50
KE6FNQ,NA,180,1E,VA,2,NA,1,1,B,0,0,15,15,150
KE6LMF,NA,458,2A,SJV,2,Meyers Family,3,2,B,0,0,4,4,450
KE6RN,NA,1592,3A,SJV,2,California City ARC,18,3,G,0,0,311,311,970
KE7A,NA,278,1D,NTX,2,NA,1,1,C,49,0,16,65,50
KE7IZH,NA,472,1D,AZ,2,NA,1,1,C,0,86,14,100,100
KE7KML,NA,1066,1A,WWA,2,San Juan Co. ARS,6,1,B,0,4,0,4,1050
KE7SW,NA,64,1D,WWA,1,NA,1,1,C,0,0,14,14,50
KE7ZAC,NA,14,1D,WWA,1,NA,1,1,C,0,0,14,14,0
KE8COT,NA,2344,3A,WV,2,Mason Co. ARG,6,3,G,0,126,95,221,1650
KE8HEA,NA,258,1D,OH,2,NA,1,1,C,0,0,104,104,50
KE8PX,NA,1746,3A,OH,2,Wyandot Area Ham Operators Org,10,3,G,190,0,68,258,850
KE8RV,NA,3912,4A,OH,2,NA,34,4,G,143,65,795,1003,1490
KE8USA,NA,850,1E,OH,2,NA,2,1,B,0,0,300,300,250
KEØARY,NA,40,1D,MO,1,NA,1,1,C,0,0,40,40,0
KEØEA,NA,1326,3A,CO,2,Big Sandy ARC,8,3,G,36,57,102,195,750
KEØJFG,NA,56,1B1,CO,2,NA,1,1,G,0,0,3,3,50
KEØJMK,NA,106,1E,OH,2,NA,1,1,B,0,0,28,28,50
KEØJWQ,NA,660,1B2B,CO,5,NA,2,1,B,0,0,2,2,650
KEØUI,NA,3976,1E,CO,2,NA,1,1,G,818,0,227,1045,250
KF2XC,NA,274,1D,WNY,2,NA,1,1,C,0,0,112,112,50
KF3B,NA,517,1D,EPA,1,NA,1,1,C,156,0,205,361,0
KF3CG,NA,406,1B1,WPA,2,NA,1,1,G,0,0,128,128,150
KF3EI,NA,70,1C,SFL,5,NA,1,1,B,0,0,4,4,50
KF3G,NA,498,1D,EPA,2,NA,1,1,C,112,0,0,112,50
KF3M,NA,3822,2A,EPA,2,Hanover Area Hamming Asson,13,2,G,4,0,1148,1152,1510
KF4IRC,NA,82,1D,AL,2,NA,1,1,C,0,0,16,16,50
KF4LMT,NA,140,1C,GA,2,NA,1,1,B,0,0,45,45,50
KF4VXJ,NA,422,1E,NC,2,NA,1,1,B,0,0,31,31,360
KF5JRP,NA,422,1B1,OK,2,NA,1,1,G,0,0,86,86,250
KF5NRS,NA,60,1D,NTX,2,NA,1,1,C,0,0,5,5,50
KF5PVT,NA,310,2B2,NTX,2,NA,2,2,G,0,13,4,17,250
KF5RUW,NA,86,1D,STX,2,NA,1,1,C,0,0,18,18,50
KF5WNV,NA,1434,2A,MS,2,Scott Co. ARC,6,2,G,108,0,26,134,950
KF5WXY,NA,114,1D,AR,2,NA,1,1,C,0,1,30,31,50
KF5YUB,NA,172,1D,NTX,2,NA,1,1,C,15,0,31,46,50
KF5ZPL,NA,224,1D,AR,2,NA,1,1,C,0,0,87,87,50
KF6F,NA,278,1D,SJV,2,NA,1,1,C,57,0,0,57,50
KF6FIX,NA,2,1D,ORG,2,NA,1,1,C,0,0,1,1,0
KF6HTE,NA,646,2A,EB,2,Martinez ARC,11,2,B,0,0,48,48,550
KF6I,NA,605,1D,ORG,1,NA,1,1,C,244,7,53,304,50
KF6JXM,NA,154,1D,SDG,2,NA,1,1,C,0,26,0,26,50
KF6NNM,NA,764,3A,SV,2,Friend & AR Comm Enthusiasts,8,3,G,0,52,3,55,550
KF6TJR,NA,270,1E,EB,2,NA,1,1,B,0,0,10,10,250
KF7ITF,NA,154,1D,AZ,2,NA,1,1,C,0,21,0,21,70
KF7MD,NA,3390,1B1B,CO,5,NA,1,1,B,324,0,0,324,150
KF7U,NA,276,1D,AZ,1,NA,1,1,C,113,0,0,113,50
KF7WGL,NA,206,1B1,UT,2,NA,1,1,B,0,0,28,28,150
KF7WNS,NA,1160,1EB,OR,5,NA,1,1,B,101,0,0,101,150
KF7YRW,NA,56,1D,AZ,2,NA,1,1,C,0,0,3,3,50
KF7ZKA,NA,180,1B1,KY,2,NA,1,1,B,0,0,15,15,150
KF8O,NA,146,1D,OH,2,NA,1,1,C,19,0,10,29,50
KFØXV,NA,1460,1B1B,KS,5,NA,1,1,B,131,0,0,131,150
KG1Q,NA,414,1B1,ME,2,NA,1,1,B,0,0,82,82,250
KG2E,NA,230,1B1,KY,2,NA,1,1,B,0,0,40,40,150
KG2NI,NA,206,1D,WNY,2,NA,1,1,C,0,0,103,103,0
KG4GVJ,NA,26,1D,NC,2,NA,1,1,C,0,0,13,13,0
KG4USN,NA,108,1D,MDC,2,NA,1,1,C,6,0,17,23,50
KG4WNA,NA,66,1D,KY,1,NA,1,1,C,8,0,0,8,50
KG5AOP,NA,188,1E,NFL,2,NA,1,1,G,0,0,19,19,150
KG5AUU,NA,324,1B1,NTX,2,NA,1,1,B,2,0,33,35,250
KG5FPU,NA,252,1D,OK,1,NA,1,1,C,0,37,28,65,150
KG5GCC,NA,308,1E,MS,2,NA,1,1,G,0,26,52,78,100
KG5GJT,NA,140,1D,LA,2,NA,1,1,C,0,0,45,45,50
