call,final_score,class,total_qsos,power_multiplier,gota_call,section,number_of_participants,club_name,transmitters,year,power_source,total_cw_qsos,total_digital_qsos,total_phone_qsos,bonus_points,checklog_y_n,x17
K6YA,2532,3A,619,2,W6VYC,SCV,20,Foothills ARS,3,2018,G,157,0,462,980,NA,NA
K7A,1200,1B1,195,2,NA,MT,1,NA,1,2018,G,130,0,65,550,NA,NA
K7AWA,2250,2AB,150,5,NA,AZ,3,America West ARC,2,2018,B,150,0,0,750,NA,NA
K7B,644,2A,30,2,K7JSG,WWA,4,Bothell Stake Hams,2,2018,B,0,7,23,570,NA,NA
K7BFL,308,1B2,27,2,NA,EWA,2,NA,1,2018,B,27,0,0,200,NA,NA
K7BIK,58,1E,4,2,NA,OR,1,NA,1,2018,B,0,0,4,50,NA,NA
K7BNR,2300,6A,296,2,NA,ID,60,Bonner Co. ARES/RACES,6,2018,G,0,179,117,1350,NA,NA
K7BSK,728,1A,207,2,NA,UT,12,Skyline RC,1,2018,B,2,0,205,310,NA,NA
K7BWC,614,1C,232,2,NA,UT,1,NA,1,2018,G,0,0,232,150,NA,NA
K7C,2248,2A,519,2,NA,WWA,30,Maple Valley ARC,2,2018,G,0,50,469,1110,NA,NA
K7CAR,2308,1B1,1029,2,NA,UT,1,NA,1,2018,B,0,0,1029,250,NA,NA
K7CCH,2880,3A,453,2,NA,OR,30,Coos Co. RC,3,2018,G,346,66,41,1150,NA,NA
K7CEM,1042,5F,228,2,NA,WWA,20,Centrlia ARES & Lewis Co. ARES & Chehalis Valley ARS,5,2018,C,118,0,110,350,NA,NA
K7CMT,6554,2A,1752,2,WA7ODR,MT,9,BARK,2,2018,G,1270,0,482,510,NA,NA
K7DAA,1802,4A,253,2,W6KRK,SCV,20,Morgan Hill ARS & Garlic Valley ARC & San Benito ARA,4,2018,B,8,45,200,1190,NA,NA
K7DAV,7258,4A,2072,2,N7CN,UT,55,Davis Co. ARC,4,2018,G,422,110,1540,2050,NA,NA
K7DBN,186,1D,45,2,NA,UT,1,NA,1,2018,C,23,0,22,50,NA,NA
K7E,1380,3A,65,2,NA,EWA,25,Rodeo City RC,3,2018,G,0,0,65,1250,NA,NA
K7EA,458,1E,77,2,NA,UT,1,NA,1,2018,G,37,40,0,150,NA,NA
K7EAR,3242,3A,493,2,AF7EF,AZ,11,Eastern AZ ARS,3,2018,G,306,87,100,1470,NA,NA
K7EAW,68,1D,9,2,NA,ID,1,NA,1,2018,C,0,0,9,50,NA,NA
K7ECI,996,4A,98,2,NA,ID,14,Elmore Co. ARC,4,2018,G,0,0,98,800,NA,NA
K7EFS,200,1D,75,2,NA,EPA,1,NA,1,2018,C,0,0,75,50,NA,NA
K7FYI,418,1E,134,2,NA,NV,1,NA,1,2018,B,0,0,134,150,NA,NA
K7IA,1628,1E,346,2,NA,NM,1,NA,1,2018,B,343,0,3,250,NA,NA
K7JAR,1256,2E,153,2,NA,EWA,20,NA,2,2018,G,0,0,153,950,NA,NA
K7JKM,110,1D,30,2,NA,OR,1,NA,1,2018,C,0,0,30,50,NA,NA
K7JQ,424,1D,109,2,NA,AZ,1,NA,1,2018,C,78,0,31,50,NA,NA
K7KC,5192,1D,1570,2,NA,UT,4,NA,1,2018,C,851,0,719,350,NA,NA
K7KXO,358,1E,54,2,NA,WWA,1,NA,1,2018,G,0,0,54,250,NA,NA
K7LED,13038,6A,3599,2,AE7G,WWA,45,Mike & Key ARC,6,2018,G,1450,125,2024,2690,NA,NA
K7LTF,74,1D,38,2,NA,WWA,1,NA,1,2018,C,1,0,37,-4,NA,NA
K7LWH,1470,4E,220,2,NA,WWA,25,NA,4,2018,G,220,0,0,590,NA,NA
K7M,2348,3A,414,2,KG7MFC,ID,13,Central ID ARC,3,2018,G,102,63,249,1190,NA,NA
K7MM,1262,2A,59,2,NA,EWA,3,Hells Gate ARC,2,2018,B,42,0,17,1060,NA,NA
K7MPR,2682,5A,554,2,AD7GU,AZ,25,Mohave ARC,5,2018,G,114,98,342,1150,NA,NA
K7MVA,1806,3A,312,2,NA,ID,14,Magic Valley ARC,3,2018,G,186,0,126,810,NA,NA
K7N,4264,3A,1260,2,W7DTA,OR,51,RVARC & CARE & JCARES,3,2018,G,396,51,813,850,NA,NA
K7PCB,124,1E,26,2,NA,UT,1,NA,1,2018,B,0,11,15,50,NA,NA
K7PEO,176,1D,63,2,NA,EWA,1,NA,1,2018,C,0,0,63,50,NA,NA
K7PNX,214,2E,52,2,NA,AZ,8,NA,2,2018,G,0,30,22,50,NA,NA
K7Q,1654,3A,220,2,NA,MT,7,Musselshell ARC,3,2018,G,182,0,38,850,NA,NA
K7QDX,156,1D,53,2,NA,SV,1,NA,1,2018,C,0,0,53,50,NA,NA
K7RBT,230,1D,45,2,NA,OR,1,NA,1,2018,C,0,45,0,50,NA,NA
K7RDG,2210,3AB,156,5,NA,AZ,17,Cochise ARA,3,2018,B,50,6,100,1150,NA,NA
K7RFW,384,1E,48,2,NA,UT,1,NA,1,2018,B,0,19,29,250,NA,NA
K7RL,1986,1D,1286,1,NA,WWA,1,NA,1,2018,C,650,0,636,50,NA,NA
K7SEL,1006,3A,161,2,WI7EOC,EWA,12,SEL ARC,3,2018,B,17,0,144,650,NA,NA
K7SI,2700,5AB,216,5,NA,ID,16,Snake River ARC,5,2018,B,58,38,120,1140,NA,NA
K7SVX,604,1B2,227,2,NA,ID,2,NA,1,2018,G,0,0,227,150,NA,NA
K7T,5896,3A,1156,2,W7AI,AZ,54,NA,3,2018,B,887,120,149,1570,NA,NA
K7TH,954,1E,201,2,NA,MI,1,NA,1,2018,B,0,101,100,350,NA,NA
K7UAZ,646,3A,48,2,NA,AZ,11,NA,3,2018,G,0,0,48,550,NA,NA
K7UB,248,3F,89,2,NA,UT,19,Golden Spike ARC,3,2018,C,0,0,89,70,NA,NA
K7UM,4134,2A,1057,2,NA,UT,13,UT DXA,2,2018,G,785,0,272,450,NA,NA
K7UVA,5212,3A,1520,2,K7GSL,UT,60,UT Valley ARC,3,2018,G,192,129,1199,1530,NA,NA
K7UWR,558,1A,2,2,NA,GA,3,Radio Activity,1,2018,B,0,2,0,550,NA,NA
K7XC,960,1D,594,1,NA,NV,1,NA,1,2018,C,177,39,378,150,NA,NA
K7YJ,34,1D,17,2,NA,AZ,1,NA,1,2018,C,0,0,17,0,NA,NA
K7YL,484,3A,67,2,NA,OR,3,Bear Mountain,3,2018,G,0,0,67,350,NA,NA
K7ZD,934,1D,221,2,NA,AZ,1,NA,1,2018,C,221,0,0,50,NA,NA
K7ZYV,250,1D,50,2,NA,MS,1,NA,1,2018,C,50,0,0,50,NA,NA
K8AI,1790,1B1,410,2,NA,MI,1,NA,1,2018,B,410,0,0,150,NA,NA
K8AO,456,1D,228,2,NA,MI,1,NA,1,2018,C,0,0,228,0,NA,NA
K8BF,10926,4A,3451,2,AC8NT,OH,87,Portage Co. ARS,4,2018,G,964,193,2294,1710,NA,NA
K8BLP,1502,2A,286,2,NA,OH,4,Triangle ARC,2,2018,G,240,0,46,450,NA,NA
K8BMI,2884,7A,621,2,NA,MI,10,NA,7,2018,G,146,50,425,1250,NA,NA
K8BRC,1152,3A,277,2,NA,MI,16,Black River ARC,3,2018,G,0,74,203,450,NA,NA
K8BTU,6982,2B2,1849,2,NA,OH,2,NA,2,2018,G,1517,0,332,250,NA,NA
K8BXQ,2668,5A,575,2,NA,OH,6,Fulton Co. ARC,5,2018,G,59,225,291,950,NA,NA
K8BZ,2764,3A,575,2,NA,MI,8,Gladwin Area ARC,3,2018,G,382,0,193,850,NA,NA
K8CAD,914,2A,83,2,NA,MI,15,Wexaukee ARC,2,2018,G,39,0,44,670,NA,NA
K8CGE,994,2D,236,2,NA,OH,2,NA,2,2018,C,236,0,0,50,NA,NA
K8CY,1716,3AC,370,2,KE8JXW,OH,16,Ashtabula Co. ARC,3,2018,C,61,22,287,810,NA,NA
K8DAA,4874,5A,1218,2,KE8BSL,MI,37,Holland ARC,5,2018,B,149,265,804,1610,NA,NA
K8DAC,1562,6A,140,2,KD8KDP,MI,20,Saginaw Valley ARA,6,2018,G,56,0,84,1170,NA,NA
K8DF,6982,3A,2212,2,WV8HC,WV,37,Central WVA Wrls Assn.,3,2018,G,384,0,1828,1790,NA,NA
K8EEN,4832,4A,1168,2,NA,OH,15,Mt. Vernon ARC,4,2018,G,558,165,445,1050,NA,NA
K8EG,985,1B1B,79,5,NA,OH,1,NA,1,2018,B,68,0,11,250,NA,NA
K8EMA,2400,2F,505,2,NA,OH,14,Shelby Co. OH ARES,2,2018,G,250,70,185,750,NA,NA
K8EP,1816,2A,565,2,NA,WV,10,NA,2,2018,G,1,17,547,650,NA,NA
K8ER,3810,1B1,890,2,NA,MI,1,NA,1,2018,B,890,0,0,250,NA,NA
K8ES,9864,4F,2600,2,W8JK,OH,50,Delaware ARA,4,2018,G,1427,0,1173,1810,NA,NA
K8ESQ,3230,3A,857,2,NA,MI,6,The FPL Grp,3,2018,G,549,24,284,370,NA,NA
K8FAY,1050,1F,350,2,NA,OH,4,Fayette ARA,1,2018,C,0,0,350,350,NA,NA
K8GC,1002,3F,259,2,NA,MI,33,Garden City ARC,3,2018,C,57,10,192,350,NA,NA
K8GLC,786,2AC,168,2,NA,OH,4,NA,2,2018,C,0,0,168,450,NA,NA
K8GQB,1132,2F,170,2,AD8AP,OH,26,Lisbon Area ARA,2,2018,C,40,1,129,710,NA,NA
K8GT,178,1D,32,2,NA,MI,1,NA,1,2018,C,32,0,0,50,NA,NA
K8KRG,2336,7A,261,2,NA,OH,24,NOARS - LCARA,7,2018,G,122,10,129,1550,NA,NA
K8LGN,604,3AC,140,2,NA,OH,15,Hocking Valley ARC,3,2018,C,37,0,103,250,NA,NA
K8NEO,528,1AC,139,2,NA,OH,3,NE OH ARC,1,2018,C,0,0,139,250,NA,NA
K8NGW,336,1D,63,2,NA,MI,1,NA,1,2018,C,30,0,33,150,NA,NA
K8NOW,992,3A,224,2,NA,MI,6,Metropolitan ARC,3,2018,G,0,47,177,450,NA,NA
K8NQW,2584,2A,602,2,AA8BV,OH,4,Not Quite Workable Contest Club,2,2018,G,305,0,297,770,NA,NA
K8PA,1740,4A,245,2,NA,MI,41,Thunder Bay ARC,4,2018,G,40,30,175,1110,NA,NA
K8PI,7726,3A,1975,2,W8BLV,OH,34,Dial RC,3,2018,G,928,55,992,1810,NA,NA
K8PJK,464,1D,207,1,NA,OH,1,NA,1,2018,C,207,0,0,50,NA,NA
K8PXR,616,1E,258,2,NA,OH,1,NA,1,2018,B,0,0,258,100,NA,NA
K8QIK,1920,6A,404,2,NA,OH,14,Lancaster & Fairfield Co. ARC,6,2018,G,81,0,323,950,NA,NA
K8RJW,566,2D,172,2,NA,OH,2,NA,2,2018,C,76,0,96,70,NA,NA
K8RSO,1934,2A,603,2,KE8BQV,WPA,5,Radio Soc. of OH,2,2018,G,0,19,584,690,NA,NA
K8RYU,3780,1B1,1020,2,NA,OH,1,NA,1,2018,G,695,0,325,350,NA,NA
K8SAS,898,1D,212,2,NA,OH,1,NA,1,2018,C,0,212,0,50,NA,NA
K8SCH,7744,3A,2036,2,N8YC,OH,30,Oh-Ky-In ARS,3,2018,G,818,173,1045,1690,NA,NA
K8TIH,2642,5A,476,2,NA,OH,14,Wood Co. ARC,5,2018,G,301,119,56,850,NA,NA
K8TKA,1790,3A,238,2,NA,OH,30,20/9 RC,3,2018,G,0,2,236,1310,NA,NA
K8UNS,8992,4A,2850,2,K8UTT,MI,51,LARC-FARL,4,2018,G,750,61,2039,1670,NA,NA
K8UO,6826,10A,1676,2,NA,MI,47,Utica Shelby EmComms Assn.,10,2018,G,803,39,834,1790,NA,NA
K8UU,2058,4AC,754,2,NA,OH,6,Drake ARC,4,2018,C,150,0,604,250,NA,NA
K8WHB,2676,3F,802,2,NA,OH,18,Geauga ARA,3,2018,C,72,39,691,850,NA,NA
K8WZY,158,1E,4,2,NA,OH,1,NA,1,2018,B,0,0,4,150,NA,NA
K8YOJ,694,2A,22,2,NA,OH,8,AmRad Pub Svc Corps of Hamilton Co. OH,2,2018,G,0,0,22,650,NA,NA
K8YR,1768,2F,502,2,AA8DC,OH,12,Preble ARA,2,2018,C,227,0,275,310,NA,NA
K8ZT,2825,2B1B,249,5,NA,DE,1,NA,2,2018,B,192,34,23,450,NA,NA
K9ABR,236,1D,93,2,NA,IL,1,NA,1,2018,C,0,0,93,50,NA,NA
K9AVE,3852,2A,972,2,NA,IL,5,IL Valley RA,2,2018,G,754,0,218,400,NA,NA
K9AWM,62,1D,6,2,NA,IN,1,NA,1,2018,C,0,0,6,50,NA,NA
K9BEC,152,1D,76,2,NA,IN,1,NA,1,2018,C,0,0,76,0,NA,NA
K9BY,4770,3A,1433,2,NA,WI,12,Greater Beloit ARC,3,2018,G,522,5,906,850,NA,NA
K9BZ,56,1B1,3,2,NA,SV,1,NA,1,2018,B,0,0,3,50,NA,NA
K9CEW,284,1D,34,2,NA,IL,1,NA,1,2018,C,0,33,1,150,NA,NA
K9DDS,1175,1B1B,165,5,NA,IL,1,NA,1,2018,B,0,0,165,350,NA,NA
K9DIY,1444,2A,135,2,AC9ML,IN,44,Bloomington ARC,2,2018,G,0,32,103,1110,NA,NA
K9DJT,1228,2A,489,2,NA,WI,3,Camp Trouten,2,2018,G,0,0,489,250,NA,NA
K9DVB,214,1D,82,2,NA,WI,1,NA,1,2018,C,0,0,82,50,NA,NA
K9EAM,2680,3A,507,2,NA,WI,29,Green Bay Mike & Key Club,3,2018,G,263,0,244,1140,NA,NA
K9EGS,428,1B1,14,2,NA,IL,1,NA,1,2018,B,0,0,14,400,NA,NA
K9ELF,70,1D,10,2,NA,IN,1,NA,1,2018,C,0,0,10,50,NA,NA
K9ESV,4894,2F,1135,2,NA,IL,15,McHenry Co. RACES/ARES,2,2018,G,987,0,148,650,NA,NA
K9FOH,2170,1B1B,182,5,NA,IN,1,NA,1,2018,B,182,0,0,350,NA,NA
K9GDF,1506,1D,364,2,NA,WI,1,NA,1,2018,C,364,0,0,50,NA,NA
K9GX,630,1D,315,2,NA,IN,1,NA,1,2018,C,0,0,315,0,NA,NA
K9GXU,1938,3A,342,2,NA,IL,7,St. Clair ARC,3,2018,B,28,74,240,1050,NA,NA
K9HAM,1970,3A,410,2,NA,IL,25,Lewis & Clark RC,3,2018,B,90,0,320,970,NA,NA
K9HC,1070,2A,185,2,NA,IN,12,Huntington Co. ARS,2,2018,G,0,0,185,700,NA,NA
K9HD,1530,2A,349,2,NA,IN,8,Land of Lakes ARC LLC,2,2018,G,41,0,308,750,NA,NA
K9ILS,2854,3E,820,2,NA,IL,22,NA,3,2018,G,318,4,498,570,NA,NA
K9IQP,6348,3F,1934,2,W9QL,IL,25,NA,3,2018,C,645,0,1289,1190,NA,NA
K9IU,5644,13A,880,2,K9SOU,IN,32,ARC at IN Univ & Bloomington High School S ARC,13,2018,G,606,1,273,2670,NA,NA
K9JDM,94,1D,22,2,NA,IL,1,NA,1,2018,C,0,0,22,50,NA,NA
K9JK,406,1C,67,2,NA,IL,1,NA,1,2018,G,11,0,56,250,NA,NA
K9KFR,62,1D,3,2,NA,IN,1,NA,1,2018,C,1,2,0,50,NA,NA
K9KJ,1150,1B1B,100,5,NA,IN,1,NA,1,2018,B,100,0,0,150,NA,NA
K9LA,234,1B1,23,2,NA,IN,1,NA,1,2018,B,19,0,4,150,NA,NA
K9MA,2220,1B1B,207,5,NA,WI,1,NA,1,2018,B,207,0,0,150,NA,NA
K9MAF,584,2B2,217,2,NA,IN,2,NA,2,2018,B,0,0,217,150,NA,NA
K9MCE,4344,3A,1006,2,KD9EFO,IL,13,Macoupin Co. ARC,3,2018,G,341,140,525,1370,NA,NA
K9MMS,1350,1D,300,2,NA,IL,1,NA,1,2018,C,300,0,0,150,NA,NA
K9MOT,1724,1A,385,2,NA,WI,7,Motorola ARC,1,2018,G,42,0,343,870,NA,NA
K9NYO,102,1C,26,2,NA,IL,1,NA,1,2018,B,0,0,26,50,NA,NA
K9OM,4662,1E,1103,2,NA,WI,1,NA,1,2018,G,1078,25,0,250,NA,NA
K9ONA,1324,2A,371,2,NA,IL,18,Six Meter Club of Chicago,2,2018,G,41,0,330,500,NA,NA
K9OR,10440,3A,2745,2,WM9Q,IL,75,North Shore RC,3,2018,G,1630,0,1115,1690,NA,NA
K9RE/8,102,1D,26,2,NA,MI,1,NA,1,2018,C,0,0,26,50,NA,NA
K9RL,184,1E,17,2,NA,OR,1,NA,1,2018,B,0,0,17,150,NA,NA
K9RN,8272,2A,2187,2,KD9M,IL,21,McHenry Co. Wrls Assn.,2,2018,G,1369,0,818,1160,NA,NA
K9SA,1114,1A,231,2,NA,IL,15,Suburban UHF ARS,1,2018,G,101,0,130,450,NA,NA
K9SW,410,1E,65,2,NA,IL,1,NA,1,2018,B,65,0,0,150,NA,NA
K9T,1380,2A,215,2,NA,IL,8,N IL Quad Co. ARG,2,2018,G,0,0,215,950,NA,NA
K9TWW,76,1D,38,2,NA,MN,1,NA,1,2018,C,0,0,38,0,NA,NA
K9UO,174,1D,31,2,NA,IN,1,NA,1,2018,C,0,31,0,50,NA,NA
K9UQN,655,1D,258,1,NA,TN,1,NA,1,2018,C,247,0,11,150,NA,NA
K9UW,432,1D,183,2,NA,WI,1,NA,1,2018,C,8,0,175,50,NA,NA
K9UXZ,1596,4A,373,2,NA,IL,10,National Trail ARC,4,2018,G,0,0,373,850,NA,NA
K9VND,2936,5A,707,2,NA,IN,44,Blackford ARC,5,2018,G,176,10,521,1150,NA,NA
K9WKD,210,1E,80,2,NA,IL,1,NA,1,2018,B,0,0,80,50,NA,NA
K9WPV,164,1D,57,2,NA,IN,1,NA,1,2018,C,0,0,57,50,NA,NA
K9WWW,98,1D,24,2,NA,WWA,1,NA,1,2018,C,0,0,24,50,NA,NA
K9YAW,264,1E,57,2,NA,IL,1,NA,1,2018,B,0,0,57,150,NA,NA
K9YNP,420,1B1,35,2,NA,MT,1,NA,1,2018,B,0,0,35,350,NA,NA
K9ZA,5162,1A,1228,2,NA,IL,3,Federation of AR Operators,1,2018,G,978,0,250,750,NA,NA
K9ZEV,620,4AC,285,2,NA,IN,7,Miami Co. ARC,4,2018,C,0,0,285,50,NA,NA
K9ZU,387,1C,179,1,NA,MDC,1,NA,1,2018,B,158,0,21,50,NA,NA
KA1C,168,1D,47,2,NA,ME,1,NA,1,2018,C,37,0,10,0,NA,NA
KA1DTG,220,1B1B,14,5,NA,WMA,1,NA,1,2018,B,0,0,14,150,NA,NA
KA1GG,1454,2F,652,2,NA,EMA,5,SEMARG & PILGRIM,2,2018,C,0,0,652,150,NA,NA
KA1KNW,122,1C,11,2,NA,CT,1,NA,1,2018,G,0,0,11,100,NA,NA
KA1RFD,70,1D,5,2,NA,ME,1,NA,1,2018,C,5,0,0,50,NA,NA
KA1VMG,446,1D,148,2,NA,CT,1,NA,1,2018,C,0,0,148,150,NA,NA
KA2AEY,310,1D,65,2,NA,WNY,1,NA,1,2018,C,65,0,0,50,NA,NA
KA2BEO,680,1B1B,53,5,NA,SNJ,1,NA,1,2018,B,53,0,0,150,NA,NA
KA2DTH,144,1D,47,2,NA,VT,1,NA,1,2018,C,0,0,47,50,NA,NA
KA2ENE,174,1D,87,2,NA,WNY,1,NA,1,2018,C,0,0,87,0,NA,NA
KA2FHN,1545,1EB,153,5,NA,WNY,1,NA,1,2018,B,70,36,47,250,NA,NA
KA2FIR,352,1D,111,2,NA,NNJ,1,NA,1,2018,C,65,0,46,0,NA,NA
KA2IWK,200,1D,25,2,NA,WNY,1,NA,1,2018,C,0,0,25,150,NA,NA
KA2QYA,445,1B1B,30,5,NA,WNY,1,NA,1,2018,B,0,29,1,150,NA,NA
KA2SJG,470,1B1B,27,5,NA,NNY,1,NA,1,2018,B,27,0,0,200,NA,NA
KA2YRA,280,1B1B,6,5,NA,ENY,1,NA,1,2018,B,0,0,6,250,NA,NA
KA3KSP,106,1C,28,2,NA,WPA,1,NA,1,2018,G,0,0,28,50,NA,NA
KA3PMW,3374,3A,1203,2,NA,WPA,4,Redneck Hams,3,2018,G,47,62,1094,750,NA,NA
KA3PVM,1066,2A,179,2,NA,MDC,3,NA,2,2018,G,131,48,0,350,NA,NA
KA4HHM,910,1B1B,56,5,NA,NFL,1,NA,1,2018,B,0,56,0,350,NA,NA
KA4NDY,130,1E,15,2,NA,AL,2,NA,1,2018,G,0,0,15,100,NA,NA
KA4NXP,398,1D,174,2,NA,KY,1,NA,1,2018,C,0,0,174,50,NA,NA
KA4ZBN,308,1E,29,2,NA,SC,1,NA,1,2018,B,0,0,29,250,NA,NA
KA5B,1000,3A,110,2,NA,NM,12,E NM ARC,3,2018,G,0,45,65,690,NA,NA
KA5CJJ,2705,2AB,259,5,NA,NTX,3,SLOCC II,2,2018,B,209,23,27,250,NA,NA
KA5M,1774,1E,406,2,NA,LA,1,NA,1,2018,G,406,0,0,150,NA,NA
KA5VZG,514,1D,116,2,NA,TN,1,NA,1,2018,C,0,116,0,50,NA,NA
KA6ZMU,360,2A,4,2,NA,SJV,3,Meyers Family,2,2018,B,1,0,3,350,NA,NA
KA6ZTO,84,1E,17,2,NA,ORG,1,NA,1,2018,G,0,0,17,50,NA,NA
KA7EOC,742,2F,136,2,NA,WWA,12,Peninsula AR Emergency Team,2,2018,C,0,10,126,450,NA,NA
KA7NPQ,122,1D,36,2,NA,AZ,1,NA,1,2018,C,0,0,36,50,NA,NA
KA7PTW,88,1D,19,2,NA,AZ,1,NA,1,2018,C,0,0,19,50,NA,NA
KA7RGW,78,1D,14,2,NA,AZ,1,NA,1,2018,C,0,0,14,50,NA,NA
KA7RON,32,1D,16,2,NA,WWA,1,NA,1,2018,C,0,0,16,0,NA,NA
KA8GFB,750,1B2,200,2,NA,OH,2,NA,1,2018,B,0,0,200,350,NA,NA
KA8GKT,825,1B2B,64,5,NA,IN,2,NA,1,2018,B,31,0,33,350,NA,NA
KA9EAK,156,1D,53,2,NA,WI,1,NA,1,2018,C,0,0,53,50,NA,NA
KA9IVY,82,1B1C,16,2,NA,SC,1,NA,1,2018,C,0,0,16,50,NA,NA
KA9PHI,128,1D,39,2,NA,IL,3,NA,1,2018,C,0,0,39,50,NA,NA
KAØAIG,378,1E,64,2,NA,MO,1,NA,1,2018,B,0,0,64,250,NA,NA
KB1HQS,400,1B1B,10,5,NA,VA,1,NA,1,2018,B,0,0,10,350,NA,NA
KB1HXO,580,1B1B,46,5,NA,WMA,1,NA,1,2018,B,0,0,46,350,NA,NA
KB1UMD,158,1E,4,2,NA,EMA,1,NA,1,2018,B,0,0,4,150,NA,NA
KB1W,310,1D,223,1,NA,WMA,1,NA,1,2018,C,87,0,136,0,NA,NA
KB1WLB,540,1D,211,2,NA,RI,1,NA,1,2018,C,0,34,177,50,NA,NA
KB1YO,248,1D,99,2,NA,CT,1,NA,1,2018,C,0,0,99,50,NA,NA
KB2MN,636,1E,100,2,NA,SNJ,2,NA,1,2018,B,93,0,7,250,NA,NA
KB2URI,952,3E,89,2,NA,WNY,1,NA,3,2018,B,3,9,77,750,NA,NA
KB2YEK,128,1C,39,2,NA,NLI,1,NA,1,2018,B,0,0,39,50,NA,NA
KB3DSR,714,1A,172,2,NA,EPA,6,Mason-Dixon Signal Corp,1,2018,B,0,0,172,370,NA,NA
KB3IPZ,280,1B1,15,2,NA,EPA,1,NA,1,2018,G,0,0,15,250,NA,NA
KB3NRL,182,1B1,16,2,NA,EPA,1,NA,1,2018,G,0,0,16,150,NA,NA
KB3USC,155,1EB,11,5,NA,MDC,1,NA,1,2018,B,0,0,11,100,NA,NA
KB3ZVH,76,1D,38,2,NA,WPA,1,NA,1,2018,C,0,0,38,0,NA,NA
KB4CC,630,2F,168,2,NA,GA,7,Camden Co. (GA) ARS,2,2018,C,0,22,146,250,NA,NA
KB4LHP,196,1E,23,2,NA,NFL,1,NA,1,2018,G,0,0,23,150,NA,NA
KB4RG,476,1E,63,2,NA,WTX,1,NA,1,2018,G,0,0,63,350,NA,NA
KB5FIO,1020,1B1B,57,5,NA,NTX,1,NA,1,2018,B,0,57,0,450,NA,NA
KB5IOC,496,3AC,73,2,NA,AR,4,Miller Co. ARES,3,2018,C,0,0,73,350,NA,NA
KB5NJD,54,1D,1,2,NA,NTX,1,NA,1,2018,C,1,0,0,50,NA,NA
KB5TX,3124,5F,656,2,NA,STX,20,NA,5,2018,C,413,18,225,950,NA,NA
KB6A,498,1D,90,2,NA,ORG,1,NA,1,2018,C,84,0,6,150,NA,NA
KB6DEF,160,1EB,1,5,NA,EB,1,NA,1,2018,B,0,1,0,150,NA,NA
KB6EOC,1782,2F,341,2,NA,EB,56,Benicia ARC EOC,2,2018,C,65,0,276,970,NA,NA
KB6UNC,980,1D,318,2,NA,UT,1,NA,1,2018,C,122,0,196,100,NA,NA
KB7HDX,62,1D,6,2,NA,EWA,1,NA,1,2018,C,0,0,6,50,NA,NA
KB7LJP,910,1B1B,56,5,NA,WWA,1,NA,1,2018,B,56,0,0,350,NA,NA
KB7MLK,380,1B2,165,2,NA,NTX,2,NA,1,2018,G,0,0,165,50,NA,NA
KB7VET,148,1C,22,2,NA,NV,5,NA,1,2018,G,2,0,20,100,NA,NA
KB7XL,494,1B2,122,2,NA,NV,2,NA,1,2018,B,0,0,122,250,NA,NA
KB7YIV,200,1B2B,6,5,NA,ID,2,NA,1,2018,B,0,0,6,170,NA,NA
KB7YSY,124,1D,37,2,NA,AZ,1,NA,1,2018,C,0,0,37,50,NA,NA
KB8PGW,1950,1B1B,170,5,NA,MI,1,NA,1,2018,B,170,0,0,250,NA,NA
KB8RPO,190,1E,49,2,NA,NH,1,NA,1,2018,G,0,21,28,50,NA,NA
KB8SB,72,1D,22,1,NA,NFL,1,NA,1,2018,C,0,0,22,50,NA,NA
KB8U,404,1C,89,2,NA,MI,1,NA,1,2018,B,88,0,1,50,NA,NA
KB8UHN,690,1B1,220,2,NA,OH,1,NA,1,2018,B,0,0,220,250,NA,NA
KB8ZUN,675,1B2B,21,5,NA,VA,2,NA,1,2018,B,20,0,1,470,NA,NA
KB9AFW,148,1D,74,2,NA,MI,1,NA,1,2018,C,0,0,74,0,NA,NA
KB9GC,302,1B1,76,2,NA,TN,1,NA,1,2018,B,0,0,76,150,NA,NA
KB9GEG,108,1D,29,2,NA,IL,1,NA,1,2018,C,0,0,29,50,NA,NA
KB9TIM,138,1D,40,2,NA,WI,1,NA,1,2018,C,0,4,36,50,NA,NA
KB9YJH,622,2AC,166,2,NA,IN,3,Sprow Family,2,2018,C,0,60,106,170,NA,NA
KBØLF,310,1EB,16,5,NA,NE,1,NA,1,2018,B,16,0,0,150,NA,NA
KBØLQJ,325,1B1B,15,5,NA,UT,1,NA,1,2018,B,0,0,15,250,NA,NA
KBØSMX,2240,3A,519,2,NA,NE,30,Plattsmouth ARC,3,2018,G,76,0,443,1050,NA,NA
KBØTLL,1952,1A,791,2,KØAMC,MO,22,Jefferson Cty ARC & Ancient Modulators,1,2018,B,0,0,791,370,NA,NA
KBØVAC,678,3A,106,2,NA,KS,12,Flinthills ARC,3,2018,G,0,8,98,450,NA,NA
KBØYH,548,1E,99,2,NA,CO,1,NA,1,2018,B,0,0,99,350,NA,NA
KBØYTO,256,1B1,3,2,NA,NE,1,NA,1,2018,G,0,0,3,250,NA,NA
KC1CIL,2188,4F,458,2,WA1LEI,CT,10,Woodmont ARA,4,2018,G,0,86,372,1100,NA,NA
KC1CNO,350,1EB,40,5,NA,CT,1,NA,1,2018,B,0,0,40,150,NA,NA
KC1CUE,3300,2F,1035,2,KC1JWD,RI,32,Coventry EMA,2,2018,C,0,0,1035,1230,NA,NA
KC1EWL,22,1D,11,2,NA,WMA,1,NA,1,2018,C,0,0,11,0,NA,NA
