CALL,FINAL SCORE,CLASS,TOTAL QSOS,Power Multiplier,GOTA CALL,SEC,Number of Participants,CLUB NAME
KL7AN,1612,2A,312,2,NA,AK,53,Moose Horn ARC
KL7JRC,2154,1A,492,2,NA,AK,22,Juneau ARC
KM4I,2240,2A,535,2,NA,TN,3,NA
KM4XE,646,1AC,176,2,NA,TN,23,Hawkins Co ARES
KM5VI,2250,2B2C,2200,1,NA,STX,2,NA
KM5VZ,52,1D,1,2,NA,NTX,1,NA
KM7SM,82,1C,14,2,NA,ID,1,NA
KMØHP,820,2F,175,2,NA,MO,5,NA
KMØSI,2572,2AC,646,2,KE4TP,WCF,50,MOSI ARC
KN8DMK,246,1D,49,2,NA,OH,1,NA
KN9N,3030,1D,747,2,NA,IL,1,NA
KNØBS,512,1E,131,2,NA,IA,6,NA
KO5D,1272,3A,261,2,NA,OK,18,Durant ARA
KO5Q,554,1B1B,76,2,NA,GA,1,NA
KO6OP,294,1D,122,2,NA,SJV,1,NA
KO7X/6,62,1C,3,2,NA,EB,1,NA
KO8S,290,1D,80,2,NA,MI,1,NA
KØANS,525,1E,28,5,NA,CO,1,NA
KØANT,1792,2A,561,2,KCØNYS,KS,8,Kansas Antenna Club
KØARF,506,1A,178,2,NA,MN,3,NA
KØBO,3370,5A,826,2,NA,CO,10,Littleton Radio Amateurs
KØCD,1918,1A,367,2,NA,WI,15,SCVRA
KØCLR,1100,3E,274,2,NA,IA,3,Cedar Loo REACT #4748
KØCQ,108,1D,46,2,NA,IA,1,NA
KØDCA,1796,3A,339,2,NA,MO,27,NA
KØFEZ,528,2A,139,2,NA,CO,9,RADOPS of El Jebel Shrine
KØFNS,36,1B1C,36,1,NA,CO,1,NA
KØG,1840,1AB,149,5,NA,CO,3,Pinyon Mesa FDS
KØGEO,952,2E,239,2,NA,STX,2,NA
KØGNE,1310,2A,330,2,NA,NE,3,Greater NE ARL
KØGPZ,1464,3A,373,2,NA,MN,30,Northern Lakes ARC
KØGQ,13764,2A,4025,2,WØAO,MO,42,Raytown ARC
KØHAX,206,1E,28,2,NA,MN,1,NA
KØHK,715,1AB,46,5,NA,KS,8,Atchison Cty AR Service
KØHS,3540,4A,764,2,NA,SD,20,Hot Springs ARC
KØHSC,1140,2A,241,2,WØMHP,CO,9,Hammin' Sams
KØIIT,6228,2A,1636,2,KCØQXX,CO,46,Montrose ARC
KØJFN,1758,4E,437,2,NA,NE,8,Pioneer ARC
KØJKS,2040,1AB,151,5,NA,KS,18,Hiawatha ARC
KØKEX,2292,3F,513,2,NA,MO,40,NA
KØKKV,6112,3A,1910,2,KCØWWR,NE,50,Lincoln ARC
KØLIR,5114,2A,1430,2,NA,MO,16,NA
KØMCR,3484,4A,973,2,KCØYGD,MN,12,Meeker Co ARC
KØND,1444,2A,347,2,NA,ND,10,Theodore Roosevelt ARC
KØNR,974,1B1,412,2,NA,CO,1,NA
KOØA,4028,2A,831,2,WBØHSI,MO,79,St Charles ARC
KØPIR,94,1D,47,2,NA,SD,1,NA
KØPK,1002,1D,238,2,NA,MN,1,NA
KØPRO,630,2E,140,2,NA,KS,2,NA
KØRFD,1172,1E,292,2,NA,CO,2,NA
KØRRP,100,1D,25,2,NA,NC,1,NA
KØRV,5678,3A,1487,2,KQØC,CO,54,Ski Country ARC
KØSI,1370,2A,233,2,NØAXZ,MO,45,Central MO RA
KØUSA,1904,6A,558,2,NA,NE,20,Ak-Sar-Ben ARC
KØUU,700,1E,55,5,NA,MN,1,NA
KØVFW,70,1D,10,2,NA,KS,1,NA
KØVG,130,1B1C,20,2,NA,MN,1,NA
KØWRZ,345,1B1B,39,5,NA,KS,1,NA
KP2D,502,1A,201,2,NA,VI,5,Virgin Islands RC
KP2SJ,664,1E,105,2,NA,VI,5,St. John ARC
KP3RE,2090,3F,347,2,NA,PR,60,NA
KP4ES,7486,3A,2031,2,NA,PR,37,PRARL
KP4FD,1222,2A,255,2,WP4NPC,PR,19,Puerto Rico FD Group
KQ6ES,430,1E,77,2,NA,ORG,2,NA
KQØJ,104,1D,27,2,NA,NE,1,NA
KR2AA,802,1D,376,1,NA,NLI,1,NA
KR5NM,3422,2A,707,2,K5RIC,NM,16,Sierra Blanca ARC
KR6BG,136,1D,43,2,NA,SDG,1,NA
KR6J,12212,2A,4156,2,WK6O,ORG,5,NA
KRØVER,836,2E,203,2,NA,CO,10,NA
KS4FE,190,1D,51,2,NA,KY,1,NA
KS4X,154,1D,52,2,NA,TN,1,NA
KS6A,302,1B1,101,2,NA,OR,1,NA
KSØB,1540,1AC,392,2,NA,MO,11,Callaway ARL
KSØKS,3144,4A,880,2,ACØKN,KS,23,Santa Fe Trail ARC
KSØLV,1716,4A,282,2,NA,KS,16,Pilot Knob ARC
KT8K,1706,1D,414,2,NA,MI,1,NA
KTØKT,54,1C,2,2,NA,CO,1,NA
KTØP,226,1D,76,2,NA,VA,1,NA
KU1Q,114,1D,57,2,NA,CT,2,NA
KU4A,910,1E,105,5,NA,KY,1,NA
KU4MH,650,1B1B,125,2,NA,VA,1,NA
KU4RC,68,1D,9,2,NA,NTX,1,NA
KU4WD,626,1E,263,2,NA,TN,1,NA
KU6S,2869,5A,1334,1,AE6YN,EB,53,South Bay ARA
KU6W,5110,1E,496,5,NA,SCV,1,NA
KU9Z,2056,1A,557,2,NA,IL,15,NA
KV2X,2354,1B1B,551,2,NA,NNY,1,NA
KV3B,3984,2A,868,2,W3EXP,MDC,54,Montgomery ARC
KV4EOC,1072,3AC,151,2,K4DMH,NFL,70,Volusia Co  ARES
KV5WS,328,1D,89,2,NA,STX,1,NA
KW1R,384,3D,167,2,NA,CT,5,NA
KW2O,7814,2AC,2411,2,W2RC,NLI,22,Order of Boiled Owls of NY / Radio Central ARC
KW4DC,1008,1A,244,2,NA,TN,20,Decatur Cty ARC
KW4M,1830,1B1B,158,5,NA,GA,1,NA
KW8N,13065,2B2B,1341,5,NA,OH,2,NA
KW9R,2890,1B1B,264,5,NA,WI,1,NA
KX1E,1600,1E,135,5,NA,ME,1,NA
KX9M,2482,3A,727,2,NA,WI,22,Black Diamond Radio Group
KXØR,5040,1B1B,469,5,NA,WY,1,NA
KY4KY,6296,2F,1623,2,W4KBR,KY,71,NA
KZ3AB,500,3C,30,2,NA,MDC,3,NA
KZ9B,1444,2A,319,2,NA,WI,6,NA
N1CC,1674,1E,503,2,NA,NTX,1,NA
N1DBS,266,1D,54,2,NA,CT,1,NA
N1EDU,362,1B1,55,2,NA,NH,1,NA
N1EG,1376,3A,463,2,NA,CT,50,Coastline ARA
N1EM,3996,4F,920,2,NA,EMA,11,NA
N1EV,10752,3A,3298,2,W1NLK,CT,40,Greater Norwalk ARC
N1EVV,152,1D,51,2,NA,EPA,1,NA
N1FD,13508,9A,3729,2,NA,NH,30,Nashua Area RC
N1GN,2050,2E,732,2,NA,NH,4,NA
N1GNV,52,1B1C,1,2,NA,CT,1,NA
N1IBM,30,1D,12,2,NA,SNJ,1,NA
N1MD,350,1D,65,2,NA,MDC,1,NA
N1ME,2748,2A,631,2,NA,ME,35,Pine State ARC
N1MV,766,3A,33,2,NA,EMA,50,Mystic Valley ARG
N1NAZ,190,1E,20,2,NA,NH,1,NA
N1NC,6022,2A,1530,2,K1BG,EMA,55,Nashoba Valley ARC
N1NN,662,1D,153,2,NA,EMA,1,NA
N1NRA,1002,1F,176,2,NA,VT,4,NA
N1NW,4066,6A,899,2,NA,CT,32,RASON
N1OPF,1010,1D,328,2,NA,EMA,2,NA
N1QC,4374,4A,997,2,KB1NH,NH,24,Granite State ARA
N1SV,1456,1E,653,2,NA,EMA,1,NA
N1VMJ,1698,2F,704,2,NA,WMA,6,NA
N1VT,5926,4A,1626,2,AB1CH,VT,32,Green Mtn Wireless Soc
N1WM,5644,4A,1382,2,N1MWJ,WMA,20,Northern Berkshire ARC
N1XQ,100,1E,22,2,NA,RI,1,NA
N1YIS,84,1D,17,2,NA,ME,1,NA
N1ZIZ,1662,3A,190,2,KB1FVR,EMA,40,Genesis ARS
N1ZQ,1900,2B2C,504,2,NA,CT,2,NA
N2AM,5024,3A,1329,2,KØBDU,IA,19,Muscatine ARC
N2BJ,10452,5E,3070,2,NA,IL,5,NA
N2BZP,414,1D,91,2,NA,NV,1,NA
N2CMC,1716,3AC,397,2,W2CMC,SNJ,40,Cape May Co ARC
N2DD,424,1B2,87,2,NA,WNY,2,NA
N2DM,1295,1B1B,124,5,NA,WNY,1,NA
N2ESE,170,1B1B,7,5,NA,NNJ,1,NA
N2EW,1156,4A,258,2,NA,LAX,4,NBC Burbank ARC
N2GDS,220,1B1B,7,5,NA,SDG,1,NA
N2HQX,744,2A,72,2,NA,SNJ,15,Delaware Valley Ragchew Club
N2JDQ,2226,1D,544,2,NA,WNY,1,NA
N2JFS,294,1A,22,2,NA,VT,3,Halifax Em Comm Krewe
N2LL,3748,3A,729,2,WA2MJM,ENY,14,Overlook Mountain ARC
N2LPC,164,1D,57,2,NA,AL,1,NA
N2MO,4456,4E,1046,2,NA,NNJ,23,NA
N2MTG,996,1E,423,2,NA,ENY,1,NA
N2NNY,4090,3AC,934,2,NA,NNY,10,North Franklin ARS
N2OB,9972,4A,3023,2,N2CW,SNJ,35,NA
N2PJ,968,1B2,209,2,NA,VA,2,NA
N2RE,3620,8AB,303,5,NA,SNJ,38,David Sarnoff ARC
N2RI,1750,1D,400,2,NA,NLI,1,NA
N2SF,9284,4A,2728,2,W2UL,ENY,25,Westchester Em Comm Assn
N2SLO,214,1D,82,2,NA,NLI,1,NA
N2TY,4484,4A,1252,2,NA,ENY,40,Troy ARA
N2WN,224,1D,45,2,NA,TN,1,NA
N2XJ,6120,2A,2062,2,W2FMI,NNJ,37,NA
N2YHQ,246,1D,49,2,NA,WNY,1,NA
N3AB,1900,1B1B,180,5,NA,EPA,1,NA
N3AD,3068,1D,1691,1,NA,EPA,1,NA
N3AWS,250,1C,50,2,NA,MS,1,NA
N3AZ,345,1AB,27,5,NA,AL,3,NA
N3CSE,748,3A,139,2,NA,EPA,8,Jonestown Mtn  Repeater Assn
N3CU,4760,1B2B,451,5,NA,WPA,2,NA
N3DUE,4170,2E,1240,2,NA,MDC,3,NA
N3GGT,250,1D,50,2,NA,EPA,1,NA
N3HWH,100,1D,50,2,NA,EPA,1,NA
N3IC,10398,2A,3182,2,K3MZ,MDC,18,Randallstown ARC
N3IS,1784,3A,258,2,W3PRK,EPA,15,NA
N3KN,168,1D,69,1,NA,VA,1,NA
N3KR,4796,2A,1591,2,N3OD,NNJ,6,Vintage Iron RC
N3LP,84,1D,17,2,NA,MDC,1,NA
N3NIA,2356,4A,592,2,K3TMD,WPA,23,Elk Cty ARA
N3QC,1076,2AC,303,2,W3TM,WPA,29,Quad Co ARC
N3RAY,476,1A,138,2,NA,EPA,3,LBCECG
N3SH,3010,4A,754,2,NA,WPA,15,Wireless Assn of South Hills
N3SRC,2446,5A,707,2,NA,EPA,40,Susquehanna Co ARC
N3TCH,122,1D,23,2,NA,VA,1,NA
N3TG,174,1C,10,2,NA,MO,1,NA
N3TN,1480,2A,278,2,NA,WPA,21,Triple A ARA
N3UA,240,1D,65,2,NA,VA,1,NA
N3VZ,6450,2A,1722,2,KC3WX,EPA,8,Victor Zulu Field Day Group
N3ZP,2010,1B1B,191,5,NA,EPA,1,NA
N3ZZ,178,1E,7,2,NA,SCV,1,NA
N4A,3990,1A,935,2,NA,NC,4,NA
N4AW,3702,2A,972,2,N4SBA,SC,18,Anderson RC
N4BFR,120,1D,35,2,NA,GA,1,NA
N4BM,382,1A,139,2,NA,KS,3,NA
N4C,2260,3A,617,2,NA,NC,17,Shelby ARC / ARES of Cleveland Co
N4DT,830,1A,217,2,NA,NC,3,NA
N4DTC,2790,3AC,1295,2,NA,AL,6,JF Drake State Tech College ARC
N4DXI,868,1E,200,2,NA,NFL,1,NA
N4EAR,1592,2A,335,2,NA,WCF,15,Englewood ARS
N4EE,2760,2A,739,2,NA,SC,10,Trident ARC
N4EH,6488,4A,1850,2,KB2CUX,NFL,78,Lake Monroe ARS
N4EMP,468,1D,91,2,NA,AL,4,NA
N4FD,2130,2A,470,2,NA,GA,12,Glynn ARA
N4FL,2474,2A,497,2,NA,SFL,48,NA
N4FR,8556,3F,2764,2,W4SQD,TN,207,NA
N4GAS,2990,3A,883,2,NA,NC,33,Gaston Co ARS
N4GSM,1044,1A,117,2,NA,NC,3,Smoky Mountains AR Team
N4HAI,1650,2AC,486,2,NA,OH,4,NA
N4IDX,2384,4A,703,2,NA,AL,10,Bankhead ARC
N4IOZ,98,1D,24,2,NA,NC,1,NA
N4IQ,1240,4AC,723,1,NA,SC,4,NA
N4IV,3394,2A,671,2,NA,NC,20,Rockingham Co ARC
N4KHI,242,1B1C,46,2,NA,SFL,1,NA
N4LEC,362,1E,53,2,NA,GA,1,NA
N4LEM,1003,4F,253,1,NA,SFL,10,NA
N4MI,2274,2A,571,2,NA,VA,24,Goochland Co ARES / VA Capitol District 6 ARES
N4MM,40,1D,11,2,NA,VA,1,NA
N4MUH,546,1E,147,2,NA,NFL,1,NA
N4N,9376,3A,2708,2,KE4UW,GA,12,N4N Field Day Group
N4NE,5748,4AC,1779,2,NA,GA,91,SARA ARC
N4NRV,3102,3A,709,2,NA,VA,14,New River Valley ARC
N4NTO,514,1B1C,116,2,NA,NC,1,NA
N4OX,11430,3A,3870,2,KR4Z,NFL,7,Redneck Riviera Radio Sport Models
N4PRS,2630,2A,626,2,AI4WL,NC,56,Pamlico ARS
N4PY,4304,1A,1262,2,NA,NC,3,NC Contesters
N4RE,2400,1B2B,225,5,NA,NC,2,NA
N4RWH,264,1E,82,2,NA,WCF,1,NA
N4SER,966,2F,303,2,NA,WCF,9,NA
N4SVC,1296,4A,127,2,N4SVC,NFL,18,NA
N4THM,2796,2F,748,2,N4IF,AL,25,NA
N4TP,11088,2A,3000,2,N4SEX,WCF,65,Tampa ARC
N4TY,8500,1B1B,835,5,NA,KY,1,NA
N4UF,1378,1B1,307,2,NA,NFL,1,NA
N4UHZ,542,1E,144,2,NA,TN,1,NA
N4UU,6050,2E,1500,2,NA,NFL,2,NA
N4VG,1450,1A,600,2,NA,AL,9,NA
N4VU,838,2AC,303,2,NA,GA,5,NA
N4WO,3286,3A,622,2,NA,NFL,32,Spring Hill ARC
N4YHC,500,1E,130,2,NA,IN,1,NA
N4ZAK,815,2AB,93,5,NA,NC,3,NA
N5AT,604,1A,127,2,NA,AR,15,Akansas Radio Em Services
N5BB,2120,3A,344,2,NA,NTX,36,Irving ARC
N5BF,60,1E,5,2,NA,LAX,1,NA
N5BL,1980,3E,664,2,NA,NM,10,NA
N5CRP,1956,3A,272,2,NA,STX,40,South Texas ARC
N5CSU,405,1B1B,51,5,NA,NTX,1,NA
N5CW,5610,1B1B,531,5,NA,MS,1,NA
N5DPK,404,1C,127,2,NA,NTX,1,NA
N5EOC,3664,2A,771,2,KE5MC,NTX,20,Northeast Tarrant ARC
N5FPW,1575,1E,156,5,NA,NC,1,NA
N5HMH,210,1D,105,2,NA,LA,1,NA
N5HR,5980,2A,1844,2,K5HV,STX,35,Hill Country ARC
N5IAC,312,1E,106,2,NA,NM,1,NA
N5II,1952,2A,589,2,NA,LA,7,"Springhill ARC, Inc."
N5JB,2974,1A,684,2,NA,NTX,3,NA
N5JZD,286,1E,34,2,NA,NTX,1,NA
N5KWN,2074,3D,558,2,NA,STX,15,CARE
N5LH,530,1D,120,2,NA,AR,1,NA
N5LXI,350,1E,50,5,NA,NTX,1,NA
N5LZ,2180,1B1B,203,5,NA,UT,1,NA
N5OS,1404,3A,337,2,W5WA,MS,57,Jackson Co ARA
N5OTY,582,1D,206,2,NA,NM,1,NA
N5PU,350,1E,75,2,NA,MS,1,NA
N5QJ,850,1E,400,2,NA,AR,2,NA
N5RD,6560,2A,2265,2,NA,LA,15,Minden ARA
N5VO,758,2A,104,2,NA,NTX,22,Navarro ARC
N5VWN,90,1C,11,2,NA,SJV,1,NA
N5WLA,2612,2A,705,2,NA,NTX,3,Knob Hill Krew
N5ZRE,212,1D,81,2,NA,WTX,2,NA
N6AYU,72,1D,11,2,NA,EB,1,NA
N6BHX,122,1D,18,2,NA,EB,1,NA
N6CMF,2260,1B1B,221,5,NA,ORG,1,NA
N6DW,430,1D,140,1,NA,SV,1,NA
N6DXX,830,1E,340,2,NA,SV,2,NA
N6ER,1420,2A,399,2,NA,ORG,30,Fullerton ERC
N6FQ,1570,3A,440,2,NA,SDG,63,Fallbrook ARC
N6FR,3196,3A,873,2,NA,SV,15,GNARC
N6FRG,3252,7A,513,2,KJ6LBW,SJV,14,Calaveras ARS
N6GA,9275,4AB,905,5,NA,LAX,7,Zuni Loop Mountain Expeditionary Force
N6IGI,130,1C,40,2,NA,ORG,1,NA
N6IPD,3218,2A,966,2,K6PB,ORG,40,NA
N6IV,544,1B2B,113,2,NA,SJV,2,NA
N6JF,1462,1B2B,380,2,NA,LAX,2,NA
N6KRV,988,6A,67,2,NA,SJV,7,Sequoia ARG
N6KZ,206,1E,47,2,NA,AZ,1,NA
N6L,1312,2A,191,2,WO1S,ORG,65,Laguna Beach Em Comm Team
N6MBY (+K6RHB),880,2B2B,96,5,NA,SB,2,NA
N6MDV,610,1B2B,72,5,NA,LAX,2,NA
N6MI,4334,2A,1235,2,NA,SCV,7,Derangers
N6MQL,2946,2A,543,2,NA,SV,20,Samuel F Morse ARC
N6MWX,230,1E,40,2,NA,NNJ,1,NA
N6OV,1722,2E,523,2,NA,ORG,8,NA
N6R,5278,11A,1343,2,NA,SB,144,Ventura Co ARS
N6RK,692,1E,196,2,NA,SV,1,NA
N6RWT,82,1D,15,2,NA,EB,1,NA
N6SD,6490,2A,1625,2,N6WB,SDG,63,Escondido ARS
N6SJV,1088,3A,220,2,NA,SJV,20,Lodi ARC
N6V,3154,3A,660,2,N6RBT,SJV,35,San Joaquin Valley ATS
N6VNO,260,1E,40,2,NA,SCV,1,NA
N6VV,1322,2A,436,2,NA,EB,15,Pleasant Hill CERT
N6WG,666,1D,154,2,NA,EB,1,NA
N7AM,1286,2E,214,2,NA,AZ,2,NA
N7BI,1726,3A,537,2,NA,WWA,8,Bainbridge Island ARC
N7CFO,606,1B1,103,2,NA,EWA,1,NA
N7CKJ,132,1D,41,2,NA,EWA,1,NA
N7CQQ,2012,2B2,498,2,NA,AZ,2,NA
N7CVW,550,1F,100,2,NA,WWA,2,NA
N7DLV,354,1C,2,2,NA,WWA,1,NA
N7EI,1734,4A,342,2,NA,OR,20,Columbia Co ARC
N7EIE,418,1E,67,2,NA,WWA,1,NA
N7FF,786,1D,184,2,NA,AR,1,NA
N7FG,315,1E,18,5,NA,AZ,1,NA
N7GDE,2816,5A,519,2,W7ABF,WWA,52,Radio Amateurs of Skagit Co
N7HRC,1420,4A,135,2,N7HRC,UT,10,NA
N7IG,2488,2A,545,2,NA,WWA,23,South Kitsap ARC
N7JI,700,1B1B,45,5,NA,OR,1,NA
N7JN,1206,3A,143,2,KE7KMN,WWA,52,San Juan Co ARS
N7KE,2490,1A,660,2,NA,WWA,14,RC of Redmond
N7KN,3182,3A,771,2,NA,EWA,3,Wilson's Wonders
N7KQ,1472,1D,442,2,NA,AZ,14,NA
N7LE,6794,3A,1713,2,NA,OR,15,CODXC
N7LT,782,1B2,248,2,NA,MT,2,NA
N7MAL,1318,1E,267,2,NA,AZ,1,NA
N7MO,2844,2A,661,2,NA,EWA,3,Eastern WA Contest Club
N7NB,1460,1E,127,5,NA,WWA,1,NA
N7NTM,18,1D,9,2,NA,AZ,1,NA
N7OU,5170,1B1,1230,2,NA,WWA,1,NA
N7OY,1800,4A,207,2,K7BJ,OR,30,Lincoln Co ARC
N7P,982,3A,157,2,NA,NV,10,Pahrump AR Repeater Assn
N7RCN,120,1D,35,2,NA,UT,1,NA
N7SK,1812,3A,314,2,NA,WWA,20,Mason Co ARC
N7VEA,572,1E,84,2,NA,ID,1,NA
N7VZU,642,1B2,246,2,NA,EWA,2,NA
N7WWA,406,1E,78,2,NA,WV,1,NA
N7WY,1110,1B1B,96,5,NA,WY,1,NA
N7XW,835,1B1B,62,5,NA,WWA,1,NA
N7YDX,1444,3A,111,2,NJ6T,AZ,75,Yuma DX Assn
N8ARA,1352,3A,301,2,NA,OH,42,NA
N8AVX,1110,3A,280,2,NA,MI,7,NA
N8BB,5350,1B1B,520,5,NA,MI,1,NA
N8BC,10530,5A,3023,2,NA,OH,23,Lake Co ARA
N8BJQ,326,1D,139,1,NA,OH,1,NA
N8BOA,1758,2C,578,2,NA,MI,2,NA
N8CMQ,224,2D,87,2,NA,MI,2,NA
N8CV,4470,4E,1363,2,NA,OH,8,NA
N8E,1670,2B2B,132,5,NA,OH,2,NA
N8EFO,3380,2B2B,373,5,NA,OH,2,NA
N8EXV,360,1F,55,2,NA,STX,3,NA
N8HS,202,1C,76,2,NA,MI,1,NA
N8IHI,2380,9AC,525,2,NA,OH,10,Ashland Area ARC
N8KOJ,75,1D,25,1,NA,OH,1,NA
N8LC,5934,5A,2003,2,NA,MI,20,L'Anse Creuse ARC
N8MFN,1140,1B1B,99,5,NA,OH,1,NA
N8NBL,2592,3A,558,2,NA,WV,41,Parkersburg AR Klub
N8NC,2620,5AB,269,5,NA,OH,33,North Coast ARC
N8NN,4836,1B2,1181,2,NA,WV,2,NA
N8OE,2556,3A,730,2,NA,MI,11,Big Rapids Area ARC
N8OVI,556,1A,152,2,NA,MI,6,Novi ARC
N8PVC,404,2E,66,2,NA,OH,2,NA
N8PVL,68,1D,32,2,NA,MI,1,NA
N8QVT,92,1D,21,2,NA,IL,2,NA
N8RA/MM,776,1C,175,2,NA,CT,2,NA
N8SE,1900,6F,453,2,NA,MI,18,NA
N8SL,9276,3A,2869,2,K8BRF,MI,27,South Lyon Area ARC
N8TD,1560,1B1B,126,5,NA,OH,1,NA
N8XA,500,1B1B,77,5,NA,OH,1,NA
N8XI,1038,1D,270,2,NA,MI,1,NA
N8XMS,1250,1B1B,100,5,NA,MI,1,NA
N9AW,8736,2A,2341,2,NA,WI,9,W/K ARC of Greater Milwaukee
N9BAT,2324,4A,520,2,NA,IL,35,Chicago Suburban RA
N9DRB,160,1B1B,5,2,NA,WI,1,NA
N9EP,1606,1A,533,2,NA,IL,14,SUHFARS
N9GC,230,1D,45,2,NA,MN,1,NA
N9GTC,2200,2A,502,2,NA,WI,6,Gateway Tech College Student ARC
N9HC,2212,3A,471,2,NA,IN,45,Hendricks Co ARS
N9HR,516,1A,107,2,NA,WI,16,Watertown ARC
N9HZ,4560,3A,1131,2,K9WJU,IN,20,Goshen ARC
N9IZ,2330,3A,727,2,NA,IN,9,Int Radio Consortium of the Mystical Town of Waugh
N9JCA,446,1D,139,2,NA,IN,1,NA
N9K,748,1F,124,2,NA,IN,11,Wayne Cty RACES
N9NAU,1546,3A,308,2,NA,IN,34,Dubois Co ARC
N9NUZ,76,1D,13,2,NA,WI,1,NA
N9NX,1048,1A,250,2,NA,WI,6,Kewaunee Co ARES/RACES
N9OQT,684,1A,55,2,NA,IL,5,Mobile Ohm Volunteer Examiners
N9QID,828,2E,239,2,NA,IN,2,NA
N9RJV,7890,2A,2254,2,AB9YC,IL,72,Schaumburg ARC
N9TK,4186,1D,1009,2,NA,IL,2,NA
N9TO,1706,2A,362,2,NA,IL,6,NA
N9UY,234,1D,117,2,NA,WI,1,NA
N9VI,1680,2F,308,2,K8IAT,IN,15,NA
N9XH,2130,3F,503,2,NA,WI,22,NA
N9ZWY,162,2D,81,2,NA,WI,2,NA
NA1GB,450,1C,133,2,NA,WMA,2,NA
NA1RC,908,3A,173,2,NA,CT,25,Natchaug ARC
NA3DX,6215,2AB,664,5,NA1DX,MDC,12,Explorers RC
NA3M,98,1D,15,2,NA,MDC,1,NA
NA4CC,1864,3A,307,2,W4JNH,NC,10,Cleveland Co AR Serv
NA4GC,4078,3A,1247,2,AJ4DV,NC,20,Guilford Co ARES
NA4K,9426,3A,2588,2,NA,TN,57,McMinn Co  ARC
NA4O,465,1E,38,5,NA,GA,1,NA
NA5NN,7982,3A,2245,2,NA,MS,23,599 DX Assn
NA6L,3536,3A,1442,2,NA,SDG,6,7 HAMS San Diego
NA7UT,1100,1B2B,130,5,NA,UT,2,NA
NA9US,2690,1AB,244,5,NA,IL,3,Bolingbrook Area Radio Contesters
NAØBR,338,1E,51,2,NA,CO,1,NA
NAØPW,3065,3AB,261,5,NA,CO,15,Pueblo West ARC
NB1RI,838,1C,144,2,NA,RI,1,NA
NB3O,872,1A,221,2,NA,VA,3,NA
NB6GC,862,3A,106,2,NA,EB,6,USS Hornet ARC
NC2PD,1584,2AC,477,2,NA,NLI,17,Nassau Co Police ARC
NC4AR,1066,2F,183,2,NA,NC,12,Tri County RC
NC4CC,1130,1F,150,2,NA,NC,25,NA
NC4LC,1940,2A,423,2,NA,NC,29,Lincoln Co Volunteer Communications
NC4MI,160,1D,55,2,NA,NC,1,NA
NC4ML,1408,2A,169,2,KJ4ZEK,NC,27,Moore Co ARS
NC4NH,2654,2A,597,2,KJ4WNC,NC,41,NHC Em Prep Group
NC4OC,2014,3A,523,2,NA,NC,3,Onslow ARC
NC4PK,186,1D,58,2,NA,NC,2,NA
NC4ZO,1800,3A,425,2,NA,NC,47,Randolph ARC
NC6MC,1178,3A,214,2,NA,SF,32,Mendocino Co AR Comm Serv
NC6P,166,1E,8,2,NA,SV,1,NA
NC7G,1160,2A,312,2,NA,WWA,15,Highline ARC
NCØA,2148,2A,458,2,NA,CO,7,Royal George ARC
ND2E,546,1D,124,2,NA,TN,1,NA
ND3R,266,1D,91,2,NA,WPA,1,NA
ND5MS,1476,4F,232,2,NA,OK,7,NA
ND6U,1276,2A,368,2,ND6U,SDG,20,Filipuno-American ARS of San Diego
NE3I,588,2E,138,2,NA,EPA,1,NA
NE4SC,1186,4AC,198,2,NA,SC,15,Beach & Inland Group of the Em Am Repeater System
NE7D,2346,2B2C,574,2,NA,OR,2,NA
NE7WY,3262,3A,700,2,KO4QT,WY,45,North East WY ARA
NE9G,240,1C,45,2,NA,IL,1,NA
NE9T,178,1C,32,2,NA,IN,1,NA
NEØS,2304,3A,622,2,NA,MO,3,NA
NF6T,542,3D,147,2,NA,ORG,4,NA
NF7T,242,1D,192,1,NA,ID,2,NA
NF8M,202,1C,13,2,NA,MI,1,NA
NFØR,5410,4AB,458,5,NA,MO,22,St Louis QRP Soc
NG1O,740,1D,220,2,NA,MO,1,NA
NG5A,11446,5A,3207,2,NA,NTX,25,Boarrs RC
NI8N,5830,1B2B,558,5,NA,OH,2,NA
NIØDX,2784,2A,755,2,NA,NE,16,Heartland DX Assn
NJ1E,900,2A,166,2,NA,IL,18,Uncle Bill's RC 4 Kids
NJ1F,412,1D,103,2,NA,ENY,1,NA
NJ2GC,1738,3A,367,2,NA,SNJ,38,NA
NJ2X,150,1D,50,2,NA,NNJ,1,NA
NK3Y,344,1D,145,2,NA,EPA,1,NA
NK5G,902,3D,213,2,NA,STX,4,NA
NK8I,1320,1B2B,97,5,NA,OH,2,NA
NKØE,850,1B1B,70,5,NA,CO,1,NA
NM5DF,228,1E,39,2,NA,NM,1,NA
NM5HD,1786,3A,355,2,NA,NM,35,New Mexico High Desert ARC
NM5I,130,1D,20,2,NA,OK,1,NA
NM5MR,1402,3A,220,2,NA,NM,15,Mid Rio Grande ARC
NM5SJ,798,3A,249,2,NA,NM,12,San Juan EmComm
NM8ES,684,1A,62,2,NA,MI,15,Northern MI ARES
NN2L,2100,1B1B,200,5,NA,NNY,1,NA
NN4F,756,1E,353,2,NA,SC,1,NA
NN5NN,164,1D,43,2,NA,IA,1,NA
NN5Z,5722,2A,1472,2,NA,OK,7,NA
NN9L,3652,2A,1347,2,W9YK,IL,10,York Pirates Contest Group
